"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\runtime\tools\ccfilter.c.xml,56,58,#if,defined(_GCC),_GCC
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\runtime\tools\ccfilter.c.xml,58,60,#elif,(!(defined(_GCC))) && (defined(_AIX)),_AIX;_GCC
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\runtime\tools\ccfilter.c.xml,60,62,#elif,((!(defined(_GCC))) && (!(defined(_AIX)))) && (defined(_ATT)),_AIX;_ATT;_GCC
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\runtime\tools\ccfilter.c.xml,62,64,#elif,(((!(defined(_GCC))) && (!(defined(_AIX)))) && (!(defined(_ATT)))) && (defined(_IRIX)),_AIX;_ATT;_GCC;_IRIX
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\runtime\tools\ccfilter.c.xml,64,66,#elif,((((!(defined(_GCC))) && (!(defined(_AIX)))) && (!(defined(_ATT)))) && (!(defined(_IRIX)))) && (defined(_SOLARIS)),_AIX;_ATT;_GCC;_IRIX;_SOLARIS
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\runtime\tools\ccfilter.c.xml,66,68,#elif,(((((!(defined(_GCC))) && (!(defined(_AIX)))) && (!(defined(_ATT)))) && (!(defined(_IRIX)))) && (!(defined(_SOLARIS)))) && (defined(_HPUX)),_AIX;_ATT;_GCC;_HPUX;_IRIX;_SOLARIS
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\runtime\tools\ccfilter.c.xml,68,70,#else,(((((!(defined(_GCC))) && (!(defined(_AIX)))) && (!(defined(_ATT)))) && (!(defined(_IRIX)))) && (!(defined(_SOLARIS)))) && (!(defined(_HPUX))),_AIX;_ATT;_GCC;_HPUX;_IRIX;_SOLARIS
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\runtime\tools\ccfilter.c.xml,186,194,#if,defined(GOTO_FROM_WHERE_INCLUDED),GOTO_FROM_WHERE_INCLUDED
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\runtime\tools\xcmdsrv_client.c.xml,22,26,#if,defined(HAVE_SELECT),HAVE_SELECT
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\runtime\tools\xcmdsrv_client.c.xml,26,28,#else,!(defined(HAVE_SELECT)),HAVE_SELECT
