"sep=,"
FILENAME,CONSTANTS
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\pixmaps\stock_icons.h.xml,
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\runtime\doc\doctags.c.xml,
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\runtime\macros\maze\maze.c.xml,
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\runtime\macros\maze\mazeansi.c.xml,
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\runtime\macros\maze\mazeclean.c.xml,
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\runtime\tools\blink.c.xml,
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\runtime\tools\ccfilter.c.xml,GOTO_FROM_WHERE_INCLUDED;_AIX;_ATT;_GCC;_HPUX;_IRIX;_SOLARIS
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\runtime\tools\xcmdsrv_client.c.xml,HAVE_SELECT;MAIN
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\GvimExt\gvimext.h.xml,AFX_STDAFX_H__3389658B_AD83_11D3_9C1E_0090278BBD99__INCLUDED_;MAXULONG_PTR;STRICT;_MSC_VER
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\GvimExt\resource.h.xml,APSTUDIO_INVOKED;APSTUDIO_READONLY_SYMBOLS
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\VisVim\Commands.h.xml,AFX_COMMANDS_H__AC726717_2977_11D1_B2F3_006008040780__INCLUDED_
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\VisVim\DSAddIn.h.xml,AFX_DSADDIN_H__AC726715_2977_11D1_B2F3_006008040780__INCLUDED_
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\VisVim\OleAut.h.xml,UNICODE;__OLEAUT_H__
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\VisVim\Resource.h.xml,APSTUDIO_INVOKED;APSTUDIO_READONLY_SYMBOLS
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\VisVim\StdAfx.h.xml,AFX_STDAFX_H__AC72670E_2977_11D1_B2F3_006008040780__INCLUDED_;_DEBUG
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\VisVim\VisVim.h.xml,AFX_VISVIM_H__AC72670B_2977_11D1_B2F3_006008040780__INCLUDED_;__AFXWIN_H__
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\alloc.h.xml,
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\arabic.c.xml,FEAT_ARABIC;PROTO
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\arglist.c.xml,BACKSLASH_IN_FILENAME;FEAT_EVAL;FEAT_GUI;FEAT_QUICKFIX;FEAT_SYN_HL;FEAT_TITLE;PROTO;UNIX
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\ascii.h.xml,BACKSLASH_IN_FILENAME;EBCDIC
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\autocmd.c.xml,BACKSLASH_IN_FILENAME;EXITFREE;FEAT_AUTOCHDIR;FEAT_DIFF;FEAT_EVAL;FEAT_GUI;FEAT_PROFILE;FEAT_SPELL;FEAT_SYN_HL;FEAT_TITLE;PROTO;VMS
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\beval.c.xml,FEAT_BEVAL;FEAT_BEVAL_GUI;FEAT_BEVAL_TERM;FEAT_EVAL;FEAT_GUI;FEAT_NETBEANS_INTG;FEAT_PROP_POPUP;FEAT_VARTABS;PROTO
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\beval.h.xml,BEVAL__H;FEAT_BEVAL;FEAT_BEVAL_GUI;FEAT_GUI_GTK;FEAT_GUI_MSWIN;FEAT_GUI_X11;FEAT_VARTABS;PROTO;USE_GTK3
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\blob.c.xml,FEAT_EVAL;PROTO
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\blowfish.c.xml,FEAT_CRYPT;HAVE_CONFIG_H;MSWIN;PROTO;WORDS_BIGENDIAN
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\buffer.c.xml,BACKSLASH_IN_FILENAME;EXITFREE;FEAT_AUTOCHDIR;FEAT_BEVAL;FEAT_BYTEOFF;FEAT_CINDENT;FEAT_CLIENTSERVER;FEAT_CMDL_INFO;FEAT_COMPL_FUNC;FEAT_CON_DIALOG;FEAT_CRYPT;FEAT_DIFF;FEAT_EVAL;FEAT_FIND_ID;FEAT_FOLDING;FEAT_GUI;FEAT_GUI_DIALOG;FEAT_GUI_TABLINE;FEAT_JOB_CHANNEL;FEAT_JUMPLIST;FEAT_KEYMAP;FEAT_LISP;FEAT_LUA;FEAT_MZSCHEME;FEAT_NETBEANS_INTG;FEAT_PERL;FEAT_PRINTER;FEAT_PROP_POPUP;FEAT_PYTHON;FEAT_PYTHON3;FEAT_QUICKFIX;FEAT_RUBY;FEAT_SEARCHPATH;FEAT_SHORTCUT;FEAT_SIGNS;FEAT_SMARTINDENT;FEAT_SPELL;FEAT_STL_OPT;FEAT_SYN_HL;FEAT_TCL;FEAT_TERMINAL;FEAT_TEXTOBJ;FEAT_TITLE;FEAT_VARTABS;FEAT_VIMINFO;MSWIN;OPEN_CHR_FILES;PROTO;UNIX;USE_FNAME_CASE
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\bufwrite.c.xml,CP_UTF8;CRYPT_NOT_INPLACE;FEAT_CRYPT;FEAT_EVAL;FEAT_NETBEANS_INTG;FEAT_PERSISTENT_UNDO;FEAT_QUICKFIX;FEAT_TITLE;FEAT_WILDIGN;HAVE_ACL;HAVE_FCHMOD;HAVE_FCHOWN;HAVE_FSYNC;HAVE_FTRUNCATE;HAVE_SELINUX;HAVE_SMACK;HAVE_SOLARIS_ZFS_ACL;HAVE_UTIME;HAVE_UTIMES;HAVE_UTIME_H;MACOS_CONVERT;MIN;MSWIN;NeXT;UNIX;USE_ICONV;VMS
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\change.c.xml,FEAT_CINDENT;FEAT_DIFF;FEAT_EVAL;FEAT_FOLDING;FEAT_GUI_GTK;FEAT_JUMPLIST;FEAT_LISP;FEAT_NETBEANS_INTG;FEAT_PROP_POPUP;FEAT_QUICKFIX;FEAT_RIGHTLEFT;FEAT_SEARCH_EXTRA;FEAT_SMARTINDENT;FEAT_SYN_HL;FEAT_TITLE;FEAT_VARTABS;FEAT_XIM
