Name,LGSmell,SSSmell,ConstantsSmell,LOFCSmell,CUSmell,NOFC,MAXNOFC,LOFC,ProjectLOC,NOCU,Smelly
HAVE_CONFIG_H,0.21107222,0.799951,0.20770657,0.0033656505,0.59224445,1008,4853,3024,898489,1008,true
"",0.1442603,0.27475065,0.13785288,0.006407424,0.13689777,669,4853,5757,898489,233,true
"_WIN32",0.06664536,0.12004556,0.06305378,0.0035915854,0.056991775,306,4853,3227,898489,97,true
VLC_WINSTORE_APP,0.02120588,0.03758333,0.019369463,0.0018364164,0.018213866,94,4853,1650,898489,31,true
WORDS_BIGENDIAN,0.021093296,0.035881955,0.02060581,4.874851E-4,0.015276146,100,4853,438,898489,26,true
NDEBUG,0.020581968,0.05230256,0.019987637,5.943311E-4,0.032314923,97,4853,534,898489,55,true
ENABLE_SOUT,0.020464037,0.029761475,0.015660416,0.0048036203,0.014101057,76,4853,4316,898489,24,true
"__OS2__",0.01834284,0.031409938,0.017308882,0.0010339582,0.014101057,84,4853,929,898489,24,true
"__APPLE__",0.017224154,0.031524107,0.015660416,0.0015637365,0.01586369,76,4853,1405,898489,27,true
MP4_VERBOSE,0.015359284,0.016598815,0.014836184,5.2310043E-4,0.0017626322,72,4853,470,898489,3,true
TARGET_OS_IPHONE,0.0103681,0.014385084,0.009684731,6.833695E-4,0.0047003524,47,4853,614,898489,8,true
CAN_COMPILE_SSE2,0.0068862597,0.009707008,0.0061817435,7.0451613E-4,0.0035252643,30,4853,633,898489,6,true
"__ANDROID__",0.0067875176,0.015994564,0.0065938593,1.9365846E-4,0.009400705,32,4853,174,898489,16,true
ASF_DEBUG,0.006441068,0.007944375,0.0061817435,2.5932427E-4,0.0017626322,30,4853,233,898489,3,true
"__linux__",0.0059195654,0.010645407,0.005357511,5.6205475E-4,0.0052878964,26,4853,505,898489,9,true
DEBUG_DVBSUB,0.005888716,0.006357171,0.005769627,1.1908883E-4,5.8754405E-4,28,4853,107,898489,1,true
"__i386__",0.005710325,0.010645407,0.005357511,3.5281456E-4,0.0052878964,26,4853,317,898489,9,true
CAN_COMPILE_MMXEXT,0.0054952065,0.009058204,0.0049453946,5.49812E-4,0.0041128085,24,4853,494,898489,7,true
"_WIN32_WINNT",0.005192476,0.010820836,0.0049453946,2.4708148E-4,0.005875441,24,4853,222,898489,10,true
"__x86_64__",0.005062101,0.0100272335,0.0047393367,3.227641E-4,0.0052878964,23,4853,290,898489,9,true
HAVE_POLL,0.004816132,0.01825285,0.0047393367,7.67956E-5,0.013513514,23,4853,69,898489,23,true
XDG_SHELL,0.004809297,0.005120822,0.0045332783,2.7601895E-4,5.8754405E-4,22,4853,248,898489,1,true
SSE2,0.0044935397,0.004678076,0.0035029878,9.905519E-4,0.0011750881,17,4853,890,898489,2,true
"_GNU_SOURCE",0.0043973383,0.016665645,0.0043272204,7.011772E-5,0.012338425,21,4853,63,898489,21,true
AV_VERSION_INT,0.004219104,0.007058882,0.004121162,9.794221E-5,0.0029377204,20,4853,88,898489,5,true
HAVE_FRIBIDI,0.003978387,0.004884134,0.003709046,2.6934108E-4,0.0011750881,18,4853,242,898489,2,true
DVBv5,0.003870428,0.00429659,0.003709046,1.6138205E-4,5.8754405E-4,18,4853,145,898489,1,true
HAVE_DYNAMIC_PLUGINS,0.0038352981,0.00523499,0.0028848136,9.5048465E-4,0.0023501762,14,4853,854,898489,4,true
USE_OPENGL_ES2,0.0038281349,0.007821854,0.003709046,1.1908883E-4,0.0041128085,18,4853,107,898489,7,true
HAVE_SYS_SHM_H,0.0037890235,0.005853164,0.0035029878,2.8603576E-4,0.0023501762,17,4853,257,898489,4,true
HAVE_SYS_SOCKET_H,0.0037747116,0.013697295,0.003709046,6.56658E-5,0.009988249,18,4853,59,898489,17,true
HAVE_SRTP,0.003658805,0.00526562,0.0035029878,1.5581715E-4,0.0017626322,17,4853,140,898489,3,true
HAVE_SCSIREQ_IN_SYS_SCSIIO_H,0.003655309,0.0038844738,0.0032969296,3.5837945E-4,5.8754405E-4,16,4853,322,898489,1,true
HAVE_HARFBUZZ,0.0036375015,0.0038844738,0.0032969296,3.4057177E-4,5.8754405E-4,16,4853,306,898489,1,true
PL_API_VER,0.0035909133,0.00526562,0.0035029878,8.792539E-5,0.0017626322,17,4853,79,898489,3,true
HAVE_XKBCOMMON,0.003454816,0.004853504,0.0030908717,3.6394436E-4,0.0017626322,15,4853,327,898489,3,true
FREERDP_VERSION_MAJOR,0.003185475,0.003678416,0.0030908717,9.4603274E-5,5.8754405E-4,15,4853,85,898489,1,true
MODULE_NAME_IS_i422_yuy2,0.003182136,0.003678416,0.0030908717,9.126434E-5,5.8754405E-4,15,4853,82,898489,1,true
MODULE_NAME_IS_i420_yuy2_mmx,0.0031621025,0.003678416,0.0030908717,7.12307E-5,5.8754405E-4,15,4853,64,898489,1,true
