File,AFSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFC_Dup,NOFC_NonDup,NOFL,NONEST,Smelly
D:\Pesquisa\Projects\vlc-analysis\source\vlc\src\network\getaddrinfo.c,2.7027028,-0.2972973,3.0,0.0,74,11,43,6,6,2,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\access\dvb\linux_dvb.c,2.6379738,-0.02869288,2.6666667,0.0,941,9,27,8,4,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\video_output\opengl\renderer.c,2.4642859,-0.2857143,1.75,1.0,756,27,56,14,5,8,8,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\access\rdp.c,2.2347953,-0.8763158,3.1111112,0.0,380,37,144,28,6,9,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\visualization\visual\fft.c,2.1388888,-0.19444445,1.3333334,1.0,108,7,16,4,3,3,3,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\omxil\mediacodec_ndk.c,1.9515152,-0.04848485,2.0,0.0,495,8,18,6,4,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\avcodec\dxva2.c,1.9009523,-0.099047616,1.25,0.75,525,13,24,5,4,4,3,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\demux\aiff.c,1.8965517,-0.10344827,2.0,0.0,232,8,18,6,4,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\video_filter\postproc.c,1.6490197,-0.5176471,2.1666667,0.0,255,22,55,13,9,6,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\access_output\udp.c,1.5775577,-0.089108914,1.6666666,0.0,303,9,16,5,4,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\text_renderer\svg.c,1.5754504,-0.09121622,1.6666666,0.0,296,9,15,5,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\mft.c,1.5308243,-0.3580645,1.8888888,0.0,930,37,98,17,11,9,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\svg.c,1.5215054,-0.14516129,1.6666666,0.0,186,9,15,5,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\access\http\h2frame.c,1.5203838,-0.47961628,1.7,0.3,834,40,91,17,10,10,3,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\mux\mpeg\ts.c,1.4919733,-0.008026755,1.5,0.0,1495,6,9,3,3,2,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\video_output\win32\d3d11_quad.c,1.4846323,-0.015367728,1.5,0.0,911,7,11,3,2,2,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\src\stream_output\stream_output.c,1.4731343,-0.026865672,1.5,0.0,670,9,15,3,3,2,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\demux\nsv.c,1.4705263,-0.029473685,1.5,0.0,475,7,11,3,3,2,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\lua\intf.c,1.4646018,-0.03539823,1.5,0.0,339,6,9,3,3,2,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\src\clock\input_clock.c,1.4628483,-0.0371517,1.5,0.0,323,6,9,3,3,2,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\access\vcd\vcd.c,1.4588236,-0.04117647,1.5,0.0,340,7,11,3,3,2,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\video_output\fb.c,1.4507186,-0.049281314,1.5,0.0,487,12,21,3,3,2,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\video_filter\scene.c,1.4473684,-0.05263158,1.5,0.0,228,6,9,3,3,2,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\src\interface\interface.c,1.4414635,-0.058536585,1.5,0.0,205,6,9,3,3,2,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\demux\au.c,1.4414226,-0.058577407,1.5,0.0,239,7,11,3,3,2,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\misc\webservices\json.c,1.4338843,-0.0661157,1.25,0.25,605,10,17,5,4,4,1,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\access\dsm\sd.c,1.40625,-0.09375,1.5,0.0,128,6,9,3,2,2,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\access\dvdread.c,1.3834661,-0.36653388,1.75,0.0,1004,46,80,14,8,8,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\extras\package\win32\NSIS\nsProcess\nsProcess.c,1.362069,-0.13793103,1.5,0.0,290,10,18,6,2,4,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\access\sdp.c,1.3181818,-0.18181819,1.5,0.0,77,7,11,3,3,2,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\mux\avi.c,1.3127517,-0.08724832,1.4,0.0,745,13,21,7,3,5,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\mux\mp4\libmp4mux.c,1.3089432,-0.024390243,1.3333334,0.0,1845,15,20,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\control\hotkeys.c,1.3086307,-0.024702653,1.3333334,0.0,1093,9,14,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\demux\mpc.c,1.3052757,-0.55186725,1.4285715,0.42857143,241,19,41,10,5,7,3,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\src\video_output\video_output.c,1.3049423,-0.028391168,1.3333334,0.0,1585,15,19,4,4,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\lua\extension.c,1.3033999,-0.02993348,1.3333334,0.0,902,9,12,4,4,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\demux\nuv.c,1.2891567,-0.044176705,1.3333334,0.0,747,11,15,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\access\rtp\srtp.c,1.2875319,-0.045801528,1.3333334,0.0,524,8,12,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\demux\mod.c,1.2776489,-0.055684455,1.3333334,0.0,431,8,12,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\access\alsa.c,1.2765958,-0.056737587,1.3333334,0.0,423,8,12,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\access\wasapi.c,1.273183,-0.060150377,1.3333334,0.0,399,8,12,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\test\libvlc\media.c,1.2725753,-0.22742476,1.5,0.0,299,17,25,6,3,4,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\stream_out\record.c,1.2692308,-0.06410257,1.3333334,0.0,468,10,15,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\demux\mpeg\mpeg4_iod.c,1.2662942,-0.0670391,1.3333334,0.0,537,12,17,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\stream_out\standard.c,1.2621168,-0.07121661,1.3333334,0.0,337,8,12,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\visualization\glspectrum.c,1.2580982,-0.075235106,1.3333334,0.0,319,8,12,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\src\input\subtitles.c,1.2564102,-0.07692308,1.3333334,0.0,312,8,12,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\png.c,1.2517008,-0.08163265,1.3333334,0.0,294,8,12,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\src\network\httpd.c,1.2504508,-0.2040947,1.4545455,0.0,1563,29,48,16,6,11,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\hw\vdpau\display.c,1.2444975,-0.1555024,1.4,0.0,418,13,21,7,3,5,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\audio_filter\channel_mixer\simple.c,1.2414967,-0.091836736,1.3333334,0.0,294,9,13,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\demux\mpeg\ts_pid.c,1.2314466,-0.101886794,1.3333334,0.0,265,9,13,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\src\misc\update.c,1.2266355,-0.5233645,1.75,0.0,535,35,56,14,5,8,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\video_output\opengl\interop_sw.c,1.2204807,-0.11285266,1.3333334,0.0,319,12,18,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\stream_filter\cache_block.c,1.2173914,-0.11594203,1.3333334,0.0,207,8,12,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\access\http\h2conn_test.c,1.2133334,-0.12,1.3333334,0.0,225,9,12,4,4,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\video_filter\deinterlace\common.c,1.2133334,-0.12,1.3333334,0.0,225,9,13,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\video_output\xcb\render.c,1.204762,-0.12857144,1.3333334,0.0,560,24,36,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\demux\rawaud.c,1.1946051,-0.13872832,1.3333334,0.0,173,8,12,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\access\http\h1conn_test.c,1.1912282,-0.14210527,1.3333334,0.0,190,9,12,4,4,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\access\mms\buffer.c,1.186094,-0.14723927,1.3333334,0.0,163,8,12,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\video_output\opengl\sub_renderer.c,1.15,-0.25,1.4,0.0,280,14,22,7,3,5,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\demux\asf\asf.c,1.1410602,-0.14465408,1.2857143,0.0,1113,23,31,9,4,7,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\omxil\utils.c,1.127999,-0.3005725,1.4285715,0.0,1048,45,60,10,3,7,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\src\input\es_out.c,1.1270456,-0.039621018,1.1666666,0.0,3483,23,27,7,4,6,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\fdkaac.c,1.1198225,-0.13017751,1.25,0.0,338,11,15,5,4,4,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\video_output\kms.c,1.1075269,-0.22580646,1.3333334,0.0,558,21,33,8,4,6,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\hw\vdpau\deinterlace.c,1.1025641,-0.23076925,1.3333334,0.0,104,8,12,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\stream_out\rtsp.c,1.0969697,-0.10303031,1.2,0.0,825,17,24,6,4,5,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\video_filter\gaussianblur.c,1.0948356,-0.30516434,1.4,0.0,213,13,21,7,3,5,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\src\android\thread.c,1.085627,-0.24770643,1.3333334,0.0,218,18,22,4,3,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\notify\notify.c,1.0845865,-0.16541353,1.25,0.0,266,11,15,5,3,4,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\demux\ty.c,1.083998,-0.0826686,1.1666666,0.0,1379,19,23,7,4,6,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\omxil\omxil.c,1.0835724,-0.16642755,1.25,0.0,1394,29,37,10,5,8,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\hw\mmal\converter.c,1.0806366,-0.1193634,1.2,0.0,754,18,22,6,3,5,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\demux\playlist\playlist.c,1.0714285,-0.26190478,1.3333334,0.0,126,11,14,4,4,3,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\codec\faad.c,1.0708424,-0.52915764,1.6,0.0,463,49,59,8,6,5,0,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\modules\video_filter\grain.c,1.0620483,-0.73795176,1.2,0.6,332,49,79,6,4,5,3,true
D:\Pesquisa\Projects\vlc-analysis\source\vlc\src\os2\getaddrinfo.c,1.0462264,-0.35377356,1.4,0.0,212,15,21,7,7,5,0,true
