FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
vlc\src\misc\cpu.c,118,VLC_WEAK unsigned vlc_CPU_raw(void),18.431623,12.277778,3.3076923,2.8461537,90,85,509,13,43,23,37,20,true
vlc\modules\access\vcd\cdrom.c,263,"vcddev_toc_t * ioctl_GetTOC(vlc_object_t * p_this, const vcddev_t * p_vcddev, bool b_fill_sectorinfo)",11.936508,6.2222223,4.714286,1.0,252,224,1201,7,33,6,7,15,true
vlc\modules\access\vcd\cdrom.c,580,"int ioctl_ReadSectors(vlc_object_t * p_this, const vcddev_t * p_vcddev, int i_sector, uint8_t * p_buffer, int i_nb, int i_type)",10.35965,4.5263157,5.8333335,0.0,171,129,817,6,35,6,0,15,false
vlc\compat\aligned_alloc.c,34,"void * aligned_alloc(size_t align, size_t size)",9.42069,3.6206894,5.8,0.0,29,21,106,5,29,6,0,10,false
vlc\modules\misc\securetransport.c,428,"static int st_Handshake(vlc_tls_t * session, const char * host, const char * service, char * * restrict alp)",9.333333,0.8333333,8.5,0.0,60,25,213,2,17,9,0,1,false
vlc\modules\video_output\opengl\egl.c,208,"static int Open(vlc_gl_t * gl, const struct gl_api * api, unsigned width, unsigned height)",8.463312,4.018868,3.1111112,1.3333334,159,71,280,9,28,14,12,11,false
vlc\modules\access\http\h2frame.c,250,struct vlc_h2_frame * vlc_h2_frame_settings(void),8.277778,6.166667,1.7777778,0.33333334,54,37,88,9,16,9,3,3,true
vlc\modules\text_renderer\freetype\freetype.c,1407,static int Create(vlc_object_t * p_this),8.245968,3.8709676,3.75,0.625,93,45,256,8,30,6,5,13,false
vlc\modules\video_chroma\i420_yuy2.c,193,"VLC_TARGET static void I420_YUY2(filter_t * p_filter, picture_t * p_source, picture_t * p_dest)",8.141935,6.1419353,1.2857143,0.71428573,155,136,203,7,9,4,5,6,true
vlc\modules\video_chroma\i420_yuy2.c,405,"VLC_TARGET static void I420_YVYU(filter_t * p_filter, picture_t * p_source, picture_t * p_dest)",8.125,6.125,1.2857143,0.71428573,152,133,200,7,9,4,5,6,true
vlc\modules\video_chroma\i420_yuy2.c,612,"VLC_TARGET static void I420_UYVY(filter_t * p_filter, picture_t * p_source, picture_t * p_dest)",8.125,6.125,1.2857143,0.71428573,152,133,200,7,9,4,5,6,true
vlc\modules\video_chroma\swscale.c,226,static int GetSwsCpuMask(void),8.0,3.0,2.5,2.5,20,15,63,4,10,8,10,1,true
