"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\bin\cachegen.c.xml,125,2,23,1.0,0.0,,,,,,,,2,0,0,0,0,0,2,1,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\bin\override.c.xml,446,8,212,1.75,0.4629100498862757,,,,,,,,7,0,0,0,0,0,2,2,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\bin\rootwrap.c.xml,393,10,26,1.0,0.0,,,,,,,,8,1,0,0,0,0,4,1,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\bin\vlc.c.xml,322,7,60,1.0,0.0,,,,,,,,3,0,0,0,0,0,10,1,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\bin\winvlc.c.xml,388,10,55,1.0,0.0,,,,,,,,5,0,0,0,0,0,8,1,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\aligned_alloc.c.xml,76,6,17,1.0,0.0,,,,,,,,2,0,0,0,0,0,5,1,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\asprintf.c.xml,25,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\atof.c.xml,18,2,5,1.0,0.0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\atoll.c.xml,13,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\clock_getres.c.xml,44,2,20,1.5,0.7071067811865476,,,,,,,,2,0,0,0,0,0,0,2,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\clock_gettime.c.xml,110,2,53,1.5,0.7071067811865476,,,,,,,,2,0,0,0,0,0,0,2,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\clock_nanosleep.c.xml,104,2,50,1.5,0.7071067811865476,,,,,,,,2,0,0,0,0,0,0,2,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\dirfd.c.xml,29,3,6,1.3333333333333333,0.5773502691896257,,,,,,,,1,0,0,0,0,0,3,2,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\dummy.c.xml,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\fdopendir.c.xml,95,3,8,1.0,0.0,,,,,,,,1,0,0,0,0,0,2,1,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\flockfile.c.xml,95,4,34,1.3333333333333333,0.5773502691896257,,,,,,,,5,0,0,0,0,0,0,2,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\freeaddrinfo.c.xml,25,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\fsync.c.xml,26,2,5,1.0,0.0,,,,,,,,2,0,0,0,0,0,2,1,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\gai_strerror.c.xml,121,13,13,1.0,0.0,,,,,,,,13,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\getdelim.c.xml,79,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\getpid.c.xml,30,3,5,1.0,0.0,,,,,,,,2,0,0,0,0,0,3,1,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\gettimeofday.c.xml,40,2,17,1.0,0.0,,,,,,,,2,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\gmtime_r.c.xml,113,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\inet_pton.c.xml,82,3,6,1.0,0.0,,,,,,,,3,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\lfind.c.xml,25,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\lldiv.c.xml,13,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
D:\Pesquisa\Projects\vlc-analysis\_cppstats\vlc\compat\localtime_r.c.xml,39,4,7,1.0,0.0,,,,,,,,3,0,0,0,0,0,3,1,,
