"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\cachegen.c.xml,21,23,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\cachegen.c.xml,29,31,#if,defined(HAVE_GETOPT_H),HAVE_GETOPT_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\cachegen.c.xml,48,71,#if,defined(HAVE_GETOPT_H),HAVE_GETOPT_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\cachegen.c.xml,71,73,#else,!(defined(HAVE_GETOPT_H)),HAVE_GETOPT_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\override.c.xml,21,23,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\override.c.xml,30,317,#if,defined (__GNUC__) && (defined (__ELF__) && !defined (__sun__)),__ELF__;__GNUC__;__sun__
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\override.c.xml,40,43,#if,(defined (__GNUC__) && (defined (__ELF__) && !defined (__sun__))) && (defined(HAVE_EXECINFO_H)),HAVE_EXECINFO_H;__ELF__;__GNUC__;__sun__
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\override.c.xml,44,46,#if,(defined (__GNUC__) && (defined (__ELF__) && !defined (__sun__))) && (defined(NDEBUG)),NDEBUG;__ELF__;__GNUC__;__sun__
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\override.c.xml,64,69,#if,(defined (__GNUC__) && (defined (__ELF__) && !defined (__sun__))) && (defined(HAVE_BACKTRACE)),HAVE_BACKTRACE;__ELF__;__GNUC__;__sun__
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\override.c.xml,78,80,#if,(defined (__GNUC__) && (defined (__ELF__) && !defined (__sun__))) && (defined(HAVE_BACKTRACE)),HAVE_BACKTRACE;__ELF__;__GNUC__;__sun__
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\override.c.xml,193,245,#if,(defined (__GNUC__) && (defined (__ELF__) && !defined (__sun__))) && (0),__ELF__;__GNUC__;__sun__
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\override.c.xml,281,316,#if,(defined (__GNUC__) && (defined (__ELF__) && !defined (__sun__))) && (defined(HAVE_X11_XLIB_H)),HAVE_X11_XLIB_H;__ELF__;__GNUC__;__sun__
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\override.c.xml,317,321,#else,!(defined (__GNUC__) && (defined (__ELF__) && !defined (__sun__))),__ELF__;__GNUC__;__sun__
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\rootwrap.c.xml,21,23,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\rootwrap.c.xml,37,39,#if,defined(RLIMIT_RTPRIO),RLIMIT_RTPRIO
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\rootwrap.c.xml,43,46,#if,defined (AF_INET6) && !defined (IPV6_V6ONLY),AF_INET6;IPV6_V6ONLY
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\rootwrap.c.xml,47,49,#if,!defined(AF_LOCAL),AF_LOCAL
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\rootwrap.c.xml,50,52,#if,!defined(MSG_NOSIGNAL) && defined(SO_NOSIGPIPE),MSG_NOSIGNAL;SO_NOSIGPIPE
