"sep=,"
FILENAME,CONSTANTS
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\cachegen.c.xml,HAVE_CONFIG_H;HAVE_GETOPT_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\override.c.xml,HAVE_BACKTRACE;HAVE_CONFIG_H;HAVE_EXECINFO_H;HAVE_X11_XLIB_H;NDEBUG;__ELF__;__GNUC__;__sun__
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\rootwrap.c.xml,AF_INET6;AF_LOCAL;CMSG_ALIGN;CMSG_LEN;CMSG_SPACE;HAVE_CONFIG_H;IPV6_V6ONLY;MSG_NOSIGNAL;RLIMIT_RTPRIO;SO_NOSIGPIPE
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\vlc.c.xml,ALLOW_RUN_AS_ROOT;HAVE_CONFIG_H;HAVE_DBUS;HAVE_PTHREAD_H;NDEBUG;TOP_BUILDDIR;__OS2__
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\bin\winvlc.c.xml,HAVE_BREAKPAD;HAVE_CONFIG_H;HAVE_PROCESS_MITIGATION_IMAGE_LOAD_POLICY;NDEBUG;PROCESS_DEP_ENABLE;TOP_BUILDDIR;UNICODE;_WIN32_IE;_WIN32_WINNT;_WIN32_WINNT_WIN8
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\aligned_alloc.c.xml,HAVE_CONFIG_H;HAVE_MEMALIGN;HAVE_POSIX_MEMALIGN;_MSC_VER;_WIN32;__MINGW32__
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\asprintf.c.xml,HAVE_CONFIG_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\atof.c.xml,HAVE_CONFIG_H;__ANDROID__
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\atoll.c.xml,HAVE_CONFIG_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\clock_getres.c.xml,HAVE_CONFIG_H;__APPLE__
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\clock_gettime.c.xml,HAVE_CONFIG_H;__APPLE__
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\clock_nanosleep.c.xml,HAVE_CONFIG_H;__APPLE__
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\dirfd.c.xml,ENOTSUP;HAVE_CONFIG_H;dirfd
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\dummy.c.xml,
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\fdopendir.c.xml,ELOOP;F_GETFL;HAVE_CONFIG_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\flockfile.c.xml,HAVE_CONFIG_H;HAVE__LOCK_FILE;_WIN32;__native_client__
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\freeaddrinfo.c.xml,HAVE_CONFIG_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\fsync.c.xml,HAVE_CONFIG_H;_WIN32
