FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
allegro5\src\x\xfullscreen.c,525,static int xfvm_get_default_adapter(ALLEGRO_SYSTEM_XGLX * s),1.5,0.5,1.0,0.0,10,5,5,1,1,1,0,0,False
allegro5\src\opengl\ogl_draw.c,212,static void tex_ptr_off(ALLEGRO_DISPLAY * display),2.0666666,1.0666666999999999,1.0,0.0,15,8,8,2,2,2,0,0,False
allegro5\src\convert.c,1247,"static void rgb_888_to_argb_8888(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)",1.8703703999999999,0.37037036,1.5,0.0,27,5,9,2,3,2,0,1,False
allegro5\src\convert.c,1553,"static void rgb_888_to_bgr_555(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)",1.8703703999999999,0.37037036,1.5,0.0,27,5,9,2,3,2,0,1,False
allegro5\src\x\xfullscreen.c,746,void _al_xsys_mmon_exit(ALLEGRO_SYSTEM_XGLX * s),2.8000002,1.8000001,1.0,0.0,15,9,9,3,3,3,0,0,False
allegro5\src\gp2xwiz\wiz_display_opengl.c,47,"static ALLEGRO_DISPLAY * gp2xwiz_create_display_ogl(int w, int h)",1.2068965,0.20689656,1.0,0.0,58,6,6,2,2,2,0,0,False
allegro5\addons\primitives\prim_opengl.c,584,"int _al_draw_prim_opengl(ALLEGRO_BITMAP * target, ALLEGRO_BITMAP * texture, const void * vtxs, const ALLEGRO_VERTEX_DECL * decl, int start, int end, int type)",3.1,1.6,1.5,0.0,15,12,23,2,3,2,0,1,False
allegro5\src\convert.c,1949,"static void rgb_565_to_bgr_888(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)",2.080645,0.58064514,1.5,0.0,31,9,15,2,3,2,0,1,False
allegro5\src\convert.c,1715,"static void rgb_888_to_single_channel_8(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)",1.8703703999999999,0.37037036,1.5,0.0,27,5,9,2,3,2,0,1,False
allegro5\examples\ex_vertex_buffer.c,82,"int main(int argc, char * * argv)",1.0260869000000001,0.026086956,1.0,0.0,115,3,3,1,1,1,0,0,False
