FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
allegro5\src\cpu.c,77,int al_get_ram_size(void),12.525345,6.096774,4.285714,2.142857,31,27,192,7,30,9,15,9,True
allegro5\src\cpu.c,50,int al_get_cpu_count(void),9.666666000000001,5.0,3.3333333,1.3333334,24,20,116,6,20,7,8,6,True
allegro5\src\opengl\extensions.c,578,void * al_get_opengl_proc_address(const char * name),9.250958,6.362069,2.4444444,0.44444445,58,41,162,9,22,6,4,7,True
allegro5\src\opengl\ogl_fbo.c,152,static void attach_depth_buffer(ALLEGRO_FBO_INFO * info),9.227273,5.7272725,1.8333334,1.6666666,66,63,104,6,11,4,10,6,True
allegro5\src\opengl\extensions.c,710,void _al_ogl_manage_extensions(ALLEGRO_DISPLAY * gl_disp),8.861904,7.028571,1.5833334,0.25,140,82,136,12,19,8,3,6,True
allegro5\src\opengl\extensions.c,304,static void load_extensions(ALLEGRO_OGL_EXT_API * ext),8.166667,5.0,3.0,0.16666667,36,30,104,6,18,6,1,6,True
allegro5\addons\image\iio.c,14,bool al_init_image_addon(void),7.877684599999999,6.655462299999999,1.0,0.22222222,119,88,102,9,9,9,2,0,True
allegro5\src\opengl\ogl_fbo.c,233,static void attach_multisample_buffer(ALLEGRO_FBO_INFO * info),6.535714,3.7857144,2.0,0.75,56,53,180,4,8,3,3,4,True
allegro5\src\opengl\ogl_bitmap.c,728,"static ALLEGRO_LOCKED_REGION * ogl_lock_compressed_region(ALLEGRO_BITMAP * bitmap, int x, int y, int w, int h, int flags)",5.618852599999999,3.8688523999999997,1.25,0.5,122,118,134,4,5,3,2,3,True
allegro5\src\opengl\ogl_bitmap.c,873,static void ogl_unlock_compressed_region(ALLEGRO_BITMAP * bitmap),5.5625,3.8125,1.25,0.5,64,61,71,4,5,3,2,3,True
allegro5\src\opengl\ogl_draw.c,39,"static void try_const_color(ALLEGRO_DISPLAY * ogl_disp, ALLEGRO_COLOR * c)",3.8095237999999996,2.142857,1.3333334,0.33333334,14,10,17,3,4,3,1,2,True
