FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
curl\lib\memdebug.c,268,"void * curl_dbg_realloc(void * ptr, size_t wantedsize, int line, const char * source)",1.5,0.5,1.0,0.0,28,7,7,2,2,1,0,0,False
curl\tests\libtest\testutil.c,45,struct timeval tutil_tvnow(void) #2,2.4473683999999998,0.94736844,1.5,0.0,19,9,16,2,3,2,0,1,False
curl\src\tool_util.c,64,struct timeval tvnow(void) #2,2.4473683999999998,0.94736844,1.5,0.0,19,9,16,2,3,2,0,1,False
curl\lib\urlapi.c,237,"bool Curl_is_absolute_url(const char * url, char * buf, size_t buflen)",1.173913,0.17391305,1.0,0.0,23,4,4,1,1,1,0,0,False
curl\lib\curl_sasl.c,197,"static void state(struct SASL * sasl, struct connectdata * conn, saslstate newstate)",4.177419,1.6774193,2.5,0.0,31,26,57,2,5,3,0,3,False
curl\lib\ldap.c,233,"static int ldap_win_bind(struct connectdata * conn, LDAP * server, const char * user, const char * passwd)",1.25,0.25,1.0,0.0,20,5,5,1,1,1,0,0,False
curl\lib\connect.c,1479,"CURLcode Curl_socket(struct connectdata * conn, const Curl_addrinfo * ai, struct Curl_sockaddr_ex * addr, curl_socket_t * sockfd)",2.1538463,0.15384616,2.0,0.0,39,6,12,1,2,2,0,0,False
curl\lib\ftp.c,544,"static CURLcode ftp_readresp(curl_socket_t sockfd, struct pingpong * pp, int * ftpcode, size_t * size)",1.9729729999999999,0.972973,1.0,0.0,37,18,18,2,2,1,0,0,False
curl\lib\curl_ntlm_core.c,622,"CURLcode Curl_ntlm_core_mk_ntlmv2_resp(unsigned char * ntlmv2hash, unsigned char * challenge_client, struct ntlmdata * ntlm, unsigned char * * ntresp, unsigned int * ntresp_len)",2.3913043,0.39130434,2.0,0.0,46,9,18,2,4,3,0,2,False
curl\lib\sendf.c,447,"ssize_t Curl_recv_plain(struct connectdata * conn, int num, char * buf, size_t len, CURLcode * code)",1.8030303,0.3030303,1.5,0.0,33,5,9,2,3,2,0,1,False
curl\lib\vtls\sectransp.c,2959,"static int Curl_sectransp_shutdown(struct connectdata * conn, int sockindex)",1.1025641000000002,0.102564104,1.0,0.0,39,4,4,1,1,1,0,1,False
curl\lib\transfer.c,995,"static CURLcode readwrite_upload(struct Curl_easy * data, struct connectdata * conn, int * didwhat)",1.1515151000000001,0.15151516,1.0,0.0,132,10,10,2,2,2,0,1,False
curl\lib\vtls\openssl.c,2099,"static int select_next_proto_cb(SSL * ssl, unsigned char * * out, unsigned char * outlen, const unsigned char * in, unsigned int inlen, void * arg)",1.3333334,0.33333334,1.0,0.0,30,10,10,1,1,1,0,0,False
curl\lib\mprintf.c,193,static bool dprintf_IsQualifierNoDollar(const char * fmt),1.7619046999999999,0.7619048,1.0,0.0,21,8,8,2,2,1,0,0,False
