FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
curl\lib\setopt.c,126,"CURLcode Curl_vsetopt(struct Curl_easy * data, CURLoption option, va_list param)",40.116207,38.673347,1.2428571000000002,0.2,1696,937,1152,70,87,30,14,59,True
curl\lib\vtls\openssl.c,2388,"static CURLcode ossl_connect_step1(struct connectdata * conn, int sockindex)",27.802431,26.029703,1.3863636000000001,0.38636363,404,239,436,44,61,30,17,11,True
curl\lib\ldap.c,260,"static CURLcode Curl_ldap(struct connectdata * conn, bool * done)",23.463072,21.609413,1.3902438999999998,0.46341464,425,224,693,41,57,7,19,13,True
curl\lib\version.c,88,char * curl_version(void),22.263447,20.917292,1.2307693000000002,0.115384616,133,107,138,26,32,16,3,2,True
curl\lib\version.c,417,curl_version_info_data * curl_version_info(CURLversion stamp),17.482676,15.835617000000001,1.2941177,0.3529412,73,68,100,17,22,14,6,3,True
curl\lib\hostip.c,645,"enum resolve_t Curl_resolv_timeout(struct connectdata * conn, const char * hostname, int port, struct Curl_dns_entry * * entry, timediff_t timeoutms)",16.41817,13.855670000000002,1.3125,1.25,97,84,165,16,21,6,20,7,True
curl\lib\vtls\gtls.c,519,"static CURLcode gtls_connect_step1(struct connectdata * conn, int sockindex)",14.310893,12.960894,1.2,0.15,358,232,312,20,24,13,3,8,True
curl\lib\strerror.c,716,"const char * Curl_strerror(int err, char * buf, size_t buflen)",13.1,7.2000003,3.3,2.6,75,54,359,10,33,9,26,7,True
curl\lib\vtls\wolfssl.c,117,"static CURLcode wolfssl_connect_step1(struct connectdata * conn, int sockindex)",12.341683999999999,10.868,1.2631578,0.21052632,250,143,183,19,24,10,4,6,True
curl\lib\vtls\openssl.c,3195,"static CURLcode get_cert_chain(struct connectdata * conn, struct ssl_connect_data * connssl)",11.827046000000001,9.885869999999999,1.5882353,0.3529412,184,107,211,17,27,6,6,9,True
curl\tests\libtest\lib670.c,94,int test(char * URL),11.049613,8.449613000000001,2.4,0.2,129,109,264,10,24,6,2,4,True
curl\lib\vtls\openssl.c,3997,"static size_t Curl_ossl_version(char * buffer, size_t size)",10.81978,6.6769232999999995,3.2857144,0.85714287,65,62,347,7,23,6,6,9,True
curl\lib\vssh\libssh2.c,656,static CURLcode ssh_force_knownhost_key_type(struct connectdata * conn),10.497585,8.608696,1.0,0.8888889000000001,115,110,146,9,9,5,8,0,True
curl\lib\vssh\libssh2.c,438,static CURLcode ssh_knownhost(struct connectdata * conn),9.835144999999999,7.710145,1.25,0.875,138,133,186,8,10,7,7,2,True
curl\lib\hostip4.c,122,"Curl_addrinfo * Curl_ipv4_resolve_r(const char * hostname, int port)",9.77027,5.7702703,2.7142856,1.2857143,74,61,281,7,19,6,9,7,True
curl\lib\vtls\openssl.c,1020,static int Curl_ossl_init(void),9.465278,7.6875,1.4444443999999999,0.33333334,48,41,65,9,13,8,3,6,True
curl\lib\vtls\openssl.c,1136,static int Curl_ossl_check_cxn(struct connectdata * conn),9.031359,6.317073000000001,1.4285715,1.2857143,41,37,64,7,10,9,9,1,True
curl\lib\connect.c,494,"static bool verifyconnect(curl_socket_t sockfd, int * error)",8.982142999999999,6.125,1.4285715,1.4285715,40,35,75,7,10,6,10,2,True
curl\lib\vtls\openssl.c,1087,static void Curl_ossl_cleanup(void),8.478022,6.1923075,1.5714285,0.71428573,26,23,73,7,11,7,5,4,True
curl\lib\url.c,1471,"CURLcode Curl_idnconvert_hostname(struct connectdata * conn, struct hostname * host)",8.285714,5.714286,2.142857,0.42857143,49,40,93,7,15,5,3,7,True
curl\tests\server\util.c,213,int wait_ms(int timeout_ms),8.164596000000001,5.021739,2.2857144,0.85714287,46,33,138,7,16,4,6,9,True
curl\lib\vtls\sectransp.c,1033,"static OSStatus CopyIdentityWithLabel(char * label, SecIdentityRef * out_cert_and_key)",7.8,4.6,2.2,1.0,75,69,161,5,11,4,5,2,True
curl\lib\vtls\sectransp.c,2674,"static void show_verbose_server_cert(struct connectdata * conn, int sockindex)",7.5758243,4.1758239999999995,2.0,1.4,91,76,306,5,10,4,7,2,True
curl\lib\connect.c,680,"void Curl_updateconninfo(struct connectdata * conn, curl_socket_t sockfd)",7.5,5.3333335,1.5,0.6666667,54,48,137,6,9,3,4,1,True
curl\lib\vtls\mbedtls.c,836,"static CURLcode Curl_mbedtls_random(struct Curl_easy * data, unsigned char * entropy, size_t length)",6.934883999999999,4.534884,2.0,0.4,43,39,70,5,10,4,2,3,True
curl\lib\vtls\wolfssl.c,420,"static CURLcode wolfssl_connect_step2(struct connectdata * conn, int sockindex)",6.725649400000001,5.350649400000001,1.25,0.125,154,103,119,8,10,5,1,3,True
curl\lib\select.c,74,int Curl_wait_ms(int timeout_ms),6.3586206,2.7586207000000003,2.6,1.0,29,16,90,5,13,4,5,6,True
