FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
FFmpeg\libavcodec\crystalhd.c,421,"static inline CopyRet copy_frame(AVCodecContext * avctx, BC_DTS_PROC_OUT * output, AVFrame * frame, int * got_frame)",1.05,0.05,1.0,0.0,100,5,5,1,1,1,0,0,False
FFmpeg\libavformat\hls.c,603,"static int open_url_keepalive(AVFormatContext * s, AVIOContext * * pb, const char * url, AVDictionary * * options)",3.0294117999999997,1.5294118,1.5,0.0,17,13,25,2,3,2,0,3,False
FFmpeg\libavcodec\hevcdsp_template.c,790,"static void FUNC(put_hevc_qpel_uni_hv)(uint8_t * _dst, ptrdiff_t _dststride, uint8_t * _src, ptrdiff_t _srcstride, int height, intptr_t mx, intptr_t my, int width)",1.7857143,0.2857143,1.5,0.0,35,5,9,2,3,2,0,1,False
FFmpeg\libavcodec\ppc\h264qpel_template.c,104,"static void PREFIX_h264_qpel16_h_lowpass_altivec(uint8_t * dst, const uint8_t * src, int dstStride, int srcStride)",1.1212121000000002,0.121212125,1.0,0.0,66,8,8,1,1,1,0,0,False
FFmpeg\libavformat\movenc.c,2239,"static int mov_write_tmcd_tag(AVIOContext * pb, MOVTrack * track)",2.3533334999999997,1.02,1.3333334,0.0,50,17,22,3,4,2,0,2,False
FFmpeg\libavcodec\ac3enc_template.c,87,static void apply_mdct(AC3EncodeContext * s),2.357143,0.85714287,1.5,0.0,21,9,16,2,3,2,0,1,False
FFmpeg\libavdevice\iec61883.c,242,static int iec61883_read_header(AVFormatContext * context),1.0697675,0.069767445,1.0,0.0,129,9,9,1,1,1,0,0,False
FFmpeg\libavcodec\aacdec_template.c,1155,static av_cold int aac_decode_init(AVCodecContext * avctx),2.729114,1.329114,1.4,0.0,79,21,29,5,7,2,0,3,False
FFmpeg\libavfilter\vf_libopencv.c,144,"static int read_shape_from_file(int * cols, int * rows, int * * values, const char * filename, void * log_ctx)",1.21875,0.21875,1.0,0.0,64,14,14,1,1,1,0,0,False
FFmpeg\libavcodec\dxva2_vp9.c,164,"static int commit_bitstream_and_slice_buffer(AVCodecContext * avctx, DECODER_BUFFER_DESC * bs, DECODER_BUFFER_DESC * sc)",4.868421,3.868421,1.0,0.0,76,49,49,6,6,2,0,0,False
FFmpeg\libavdevice\xcbgrab.c,539,static int create_stream(AVFormatContext * s),1.1,0.1,1.0,0.0,60,6,6,1,1,1,0,0,False
FFmpeg\libswscale\x86\swscale.c,383,av_cold void ff_sws_init_swscale_x86(SwsContext * c),2.06993,1.0699301,1.0,0.0,143,51,51,3,3,3,0,0,False
FFmpeg\libavfilter\vaapi_vpp.c,369,static void vaapi_vpp_fill_colour_range(VAAPIColourProperties * props),3.1666665000000003,1.6666666,1.5,0.0,18,15,19,2,3,2,0,1,False
FFmpeg\libavcodec\options.c,215,"int avcodec_copy_context(AVCodecContext * dest, const AVCodecContext * src)",1.0909091,0.09090909,1.0,0.0,55,5,5,1,1,1,0,0,False
FFmpeg\libavcodec\mips\vp8dsp_mmi.c,2056,"void ff_put_vp8_epel8_v4_mmi(uint8_t * dst, ptrdiff_t dststride, uint8_t * src, ptrdiff_t srcstride, int h, int mx, int my)",1.2291666,0.22916667,1.0,0.0,48,11,11,1,1,1,0,1,False
FFmpeg\libavcodec\x86\hpeldsp_init.c,187,"static void hpeldsp_init_mmx(HpelDSPContext * c, int flags)",1.2352941000000002,0.23529412,1.0,0.0,17,4,4,1,1,1,0,0,False
FFmpeg\libavcodec\cbs_h265_syntax_template.c,1561,"static int FUNC(sei_buffering_period)(CodedBitstreamContext * ctx, RWContext * rw, H265RawSEIBufferingPeriod * current, uint32_t * payload_size)",1.8787880000000001,0.54545456,1.3333334,0.0,88,16,21,3,4,2,0,1,False
FFmpeg\libavcodec\x86\v210-init.c,30,av_cold void ff_v210_x86_init(V210DecContext * s),1.8636363999999999,0.8636364,1.0,0.0,22,19,19,1,1,1,0,0,False
FFmpeg\libavformat\mux.c,1187,"int av_interleaved_write_frame(AVFormatContext * s, AVPacket * pkt)",2.0851064,0.08510638,2.0,0.0,47,4,8,1,2,2,0,0,False
FFmpeg\libavcodec\dvenc.c,361,"static av_always_inline int dv_set_class_number_sd(DVVideoContext * s, int16_t * blk, EncBlockInfo * bi, const uint8_t * zigzag_scan, const int * weight, int bias)",1.0491803,0.04918033,1.0,0.0,61,3,3,1,1,1,0,1,False
FFmpeg\libavcodec\flashsv2enc.c,590,"static int compare_sl(FlashSV2Context * s, Block * b, const uint8_t * src, uint8_t * frame, uint8_t * key, int y, int keyframe)",1.1764706,0.1764706,1.0,0.0,17,3,3,1,1,1,0,1,False
FFmpeg\libavcodec\aacdec_template.c,2775,"static void imdct_and_windowing_ld(AACContext * ac, SingleChannelElement * sce)",1.5833333,0.5833333,1.0,0.0,24,7,7,2,2,1,0,0,False
FFmpeg\libavutil\frame.c,554,void av_frame_unref(AVFrame * frame),1.2272726999999999,0.22727273,1.0,0.0,22,5,5,1,1,1,0,0,False
