FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
FFmpeg\libpostproc\postprocess_template.c,2157,"static inline void RENAME(tempNoiseReducer)(uint8_t * src, int stride, uint8_t * tempBlurred, uint32_t * tempBlurredPast, const int * maxNoise)",158.64151,30.359457,65.15385,63.128204000000004,1327,1033,398299,39,2541,92,2462,45,True
FFmpeg\libavcodec\nvenc.c,133,"static void nvenc_print_driver_requirement(AVCodecContext * avctx, int level)",25.582770999999997,14.270270000000002,6.75,4.5625,37,33,460,16,108,4,73,40,True
FFmpeg\libavutil\ppc\cpu.c,48,int ff_get_cpu_flags_ppc(void),17.76044,9.56044,3.8,4.4,91,87,686,10,38,9,44,13,True
FFmpeg\libavcodec\qsvenc.c,130,"static void dump_video_param(AVCodecContext * avctx, QSVEncContext * q, mfxExtBuffer * * coding_opts)",13.675089999999999,12.322148,1.0,0.3529412,149,108,155,17,17,14,6,0,True
FFmpeg\libpostproc\postprocess.c,558,"static inline void postProcess(const uint8_t src[], int srcStride, uint8_t dst[], int dstStride, int width, int height, const int8_t QPs[], int QPStride, int isColor, pp_mode * vm, pp_context * vc)",13.222222,6.0,3.7777777,3.4444443999999996,33,22,135,9,34,9,31,12,True
FFmpeg\libpostproc\postprocess_template.c,1093,"static inline void RENAME(dering)(uint8_t src[], int stride, PPContext * c)",12.788477,9.888475999999999,1.8,1.1,269,266,1036,10,18,5,11,4,True
FFmpeg\libpostproc\postprocess_template.c,534,"static inline void RENAME(doVertDefFilter)(uint8_t src[], int stride, PPContext * c)",12.154212,8.931989999999999,2.2222223,1.0,397,394,1380,9,20,4,9,6,True
FFmpeg\libavcodec\x86\h264dsp_init.c,228,"av_cold void ff_h264dsp_init_x86(H264DSPContext * c, const int bit_depth, const int chroma_format_idc)",10.93111,8.82,1.1111111999999999,1.0,200,196,247,9,10,5,9,0,True
FFmpeg\libswscale\x86\rgb2rgb_template.c,2494,static av_cold void RENAME(rgb2rgb_init)(void),10.142858,6.571428999999999,2.142857,1.4285715,49,46,109,7,15,8,10,6,True
FFmpeg\libswscale\x86\hscale_fast_bilinear_simd.c,191,"void ff_hyscale_fast_mmxext(SwsContext * c, int16_t * dst, int dstWidth, const uint8_t * src, int srcW, int xInc)",9.885844,8.219178,1.4,0.26666668,73,40,84,15,21,3,4,9,True
FFmpeg\libavutil\mem.c,77,void * av_malloc(size_t size),8.147619,4.4333334,3.0,0.71428573,30,19,86,7,21,6,5,11,True
FFmpeg\libavcodec\x86\vp9dsp_init_16bpp_template.c,142,"av_cold void INIT_FUNC(VP9DSPContext * dsp, int bitexact)",7.7666664,5.6,1.1666666,1.0,60,56,83,6,7,4,6,1,True
FFmpeg\libpostproc\postprocess_template.c,1503,"static inline void RENAME(deInterlaceInterpolateCubic)(uint8_t src[], int stride)",7.6666669999999995,4.6666665,2.2,0.8,45,42,162,5,11,4,4,2,True
FFmpeg\libavutil\x86\cpu.c,90,int ff_get_cpu_flags_x86(void),6.9663553,4.766355,1.0,1.2,107,102,154,5,5,5,6,0,True
FFmpeg\libswscale\ppc\swscale_vsx.c,2076,av_cold void ff_sws_init_swscale_vsx(SwsContext * c),6.919355,4.919355,1.0,1.0,186,183,355,5,5,3,5,3,True
