FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
git\sha1dc\sha1.c,1821,"void SHA1DCUpdate(SHA1_CTX * ctx, const char * buf, size_t len)",1.8529412,0.3529412,1.5,0.0,34,6,11,2,3,2,0,1,False
git\compat\inet_ntop.c,170,"const char * inet_ntop(int af, const void * src, char * dst, size_t size)",1.2666667,0.26666668,1.0,0.0,15,4,4,1,1,1,0,1,False
git\imap-send.c,276,"static int ssl_socket_connect(struct imap_socket * sock, int use_tls_only, int verify) #2",1.8172043999999998,0.48387095,1.3333334,0.0,62,10,14,3,4,3,0,1,False
git\gettext.c,49,const char * get_preferred_languages(void),1.4666667,0.46666667,1.0,0.0,15,7,7,1,1,1,0,1,False
git\run-command.c,1302,int async_with_fork(void),2.75,1.25,1.5,0.0,8,5,9,2,3,2,0,1,False
git\imap-send.c,392,static void socket_shutdown(struct imap_socket * sock),1.5454545,0.54545456,1.0,0.0,11,6,6,1,1,1,0,1,False
git\http.c,1533,static void release_active_slot(struct active_request_slot * slot),1.2,0.2,1.0,0.0,15,3,3,1,1,1,0,0,False
git\setup.c,1309,int daemonize(void),3.2391305,1.7391304,1.5,0.0,23,20,38,2,3,2,0,1,False
git\http.c,228,static void finish_active_slot(struct active_request_slot * slot),2.0714285,0.5714286,1.5,0.0,21,6,10,2,3,2,0,1,False
git\read-cache.c,332,"static int is_racy_stat(const struct index_state * istate, const struct stat_data * sd)",2.5769231,1.0769231000000001,1.5,0.0,13,7,11,2,3,2,0,1,False
git\daemon.c,897,"static void handle(int incoming, struct sockaddr * addr, socklen_t addrlen)",1.2368422,0.23684211,1.0,0.0,38,9,9,1,1,1,0,1,False
git\grep.c,211,void grep_destroy(void),1.5,0.5,1.0,0.0,6,3,3,1,1,1,0,0,False
git\compat\nedmalloc\nedmalloc.c,375,"static void * threadcache_malloc(nedpool * p, threadcache * tc, size_t * size) THROWSPEC",2.4024389999999998,1.402439,1.0,0.0,82,23,23,5,5,3,0,1,False
git\imap-send.c,1473,"static int curl_append_msgs_to_imap(struct imap_server_conf * server, struct strbuf * all_msgs, int total)",1.7083334,0.20833333,1.5,0.0,48,5,9,2,3,2,0,1,False
git\compat\strtoumax.c,3,"uintmax_t gitstrtoumax(const char * nptr, char * * endptr, int base)",2.75,1.25,1.5,0.0,8,5,9,2,3,2,0,1,False
git\imap-send.c,1411,"static CURL * setup_curl(struct imap_server_conf * srvc, struct credential * cred)",1.8829787,0.38297874,1.5,0.0,47,9,17,2,3,2,0,1,False
git\imap-send.c,374,"static int socket_write(struct imap_socket * sock, const char * buf, int len)",1.2941177,0.29411766,1.0,0.0,17,5,5,1,1,1,0,1,False
git\daemon.c,676,static void lookup_hostname(struct hostinfo * hi),3.2333333,1.7333333,1.5,0.0,45,39,58,2,3,2,0,3,False
git\http.c,1237,void http_cleanup(void),1.244898,0.24489796,1.0,0.0,49,6,6,2,2,2,0,1,False
git\builtin\init-db.c,181,void initialize_repository_version(int hash_algo),1.2352941000000002,0.23529412,1.0,0.0,17,4,4,1,1,1,0,1,False
git\t\helper\test-chmtime.c,69,"int cmd__chmtime(int argc, const char * * argv)",1.1230768999999998,0.12307692,1.0,0.0,65,8,8,1,1,1,0,0,False
git\run-command.c,1311,const char * find_hook(const char * name),1.2413793,0.24137929999999996,1.0,0.0,29,7,7,1,1,1,0,0,False
git\http-push.c,1677,static void run_request_queue(void),2.9411764,1.9411764999999999,1.0,0.0,17,11,11,3,3,1,0,0,False
git\compat\mingw.c,2296,int mingw_raise(int sig),2.4142857,0.9142857,1.5,0.0,35,16,21,2,3,2,0,1,False
git\daemon.c,1146,static int service_loop(struct socketlist * socklist),1.0638298000000002,0.06382979,1.0,0.0,47,3,3,1,1,1,0,1,False
git\http-push.c,632,static void add_fetch_request(struct object * obj),1.1818182,0.18181819,1.0,0.0,22,4,4,1,1,1,0,0,False
git\run-command.c,221,"int sane_execvp(const char * file, char * const argv[])",2.0,1.0,1.0,0.0,20,10,10,2,2,1,0,2,False
git\wrapper.c,35,"static void * do_xmalloc(size_t size, int gentle)",1.1304348,0.13043478,1.0,0.0,23,3,3,1,1,1,0,0,False
git\http-push.c,663,"static int add_send_request(struct object * obj, struct remote_lock * lock)",1.137931,0.13793103,1.0,0.0,29,4,4,1,1,1,0,0,False
git\http.c,857,static CURL * get_curl_handle(void),10.710526,9.5,1.2105263000000002,0.0,200,100,115,19,23,6,0,3,False
git\diff-no-index.c,44,"static int get_mode(const char * path, int * mode)",1.2352941000000002,0.23529412,1.0,0.0,17,4,4,1,1,1,0,0,False
git\http-push.c,196,"static void curl_setup_http(CURL * curl, const char * url, const char * custom_req, struct buffer * buffer, curl_write_callback write_fn)",1.2222222,0.22222222,1.0,0.0,18,4,4,1,1,1,0,1,False
git\http-push.c,1696,"int cmd_main(int argc, const char * * argv)",1.05,0.05,1.0,0.0,240,6,6,2,2,1,0,1,False
git\read-cache.c,151,"int match_stat_data(const struct stat_data * sd, struct stat * st)",1.7333333,0.73333335,1.0,0.0,30,11,11,2,2,2,0,0,False
git\run-command.c,524,static void atfork_parent(struct atfork_state * as),3.0,1.5,1.5,0.0,12,9,16,2,3,2,0,1,False
git\cache-tree.c,498,"static struct cache_tree * read_one(const char * * buffer, unsigned long * size_p)",1.1285714,0.12857144,1.0,0.0,70,9,9,1,1,1,0,0,False
git\pager.c,154,int term_columns(void),1.35,0.35,1.0,0.0,20,7,7,1,1,1,0,0,False
git\abspath.c,237,"char * prefix_filename(const char * pfx, const char * arg)",1.1875,0.1875,1.0,0.0,16,3,3,1,1,1,0,0,False
git\compat\nedmalloc\nedmalloc.c,730,"static FORCEINLINE void GetThreadCache(nedpool * * p, threadcache * * tc, int * mymspace, size_t * size) THROWSPEC",1.2093023,0.20930232,1.0,0.0,43,9,9,1,1,1,0,0,False
git\compat\nedmalloc\nedmalloc.c,793,"void * nedpcalloc(nedpool * p, size_t no, size_t size) THROWSPEC",1.3333334,0.33333334,1.0,0.0,21,7,7,1,1,1,0,0,False
