FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
libtomcrypt\src\mac\blake2\blake2bmac_test.c,14,int blake2bmac_test(void),3.4793105000000004,1.9793104,1.5,0.0,290,287,573,2,3,2,0,3,False
libtomcrypt\src\mac\blake2\blake2bmac_memory.c,24,"int blake2bmac_memory(const unsigned char * key, unsigned long keylen, const unsigned char * in, unsigned long inlen, unsigned char * mac, unsigned long * maclen)",1.1764706,0.1764706,1.0,0.0,17,3,3,1,1,1,0,0,False
libtomcrypt\tests\ecc_test.c,1496,static int _ecc_test_recovery(void),1.2191781000000002,0.21917808,1.0,0.0,73,16,16,1,1,1,0,0,False
libtomcrypt\src\ciphers\des.c,1973,int des3_test(void),3.3947367999999996,1.8947368999999998,1.5,0.0,57,54,107,2,3,2,0,3,False
libtomcrypt\src\hashes\md2.c,188,int md2_test(void),3.3888887999999997,1.8888888,1.5,0.0,54,51,101,2,3,2,0,3,False
libtomcrypt\src\encauth\gcm\gcm_add_iv.c,25,"int gcm_add_iv(gcm_state * gcm, const unsigned char * IV, unsigned long IVlen)",1.2553191000000001,0.25531915,1.0,0.0,47,12,12,1,1,1,0,0,False
libtomcrypt\src\ciphers\blowfish.c,375,"int blowfish_expand(const unsigned char * key, int keylen, const unsigned char * data, int datalen, symmetric_key * skey)",1.0731708,0.07317073,1.0,0.0,41,3,3,1,1,1,0,0,False
libtomcrypt\src\stream\rabbit\rabbit.c,339,int rabbit_test(void),3.425,1.925,1.5,0.0,80,77,153,2,3,2,0,3,False
libtomcrypt\src\math\ltm_desc.c,108,"static int set_int(void * a, ltc_mp_digit b)",2.7,1.2,1.5,0.0,10,6,11,2,3,2,0,1,False
libtomcrypt\tests\der_test.c,418,static void der_cacert_test(void),1.0684931,0.06849315,1.0,0.0,73,5,5,1,1,1,0,0,False
libtomcrypt\src\encauth\ocb\ocb_done_decrypt.c,29,"int ocb_done_decrypt(ocb_state * ocb, const unsigned char * ct, unsigned long ctlen, unsigned char * pt, const unsigned char * tag, unsigned long taglen, int * stat)",1.0909091,0.09090909,1.0,0.0,33,3,3,1,1,1,0,0,False
libtomcrypt\src\pk\pkcs1\pkcs_1_oaep_decode.c,31,"int pkcs_1_oaep_decode(const unsigned char * msg, unsigned long msglen, const unsigned char * lparam, unsigned long lparamlen, unsigned long modulus_bitlen, int hash_idx, unsigned char * out, unsigned long * outlen, int * res)",1.0520834,0.052083332,1.0,0.0,96,5,5,1,1,1,0,0,False
libtomcrypt\src\encauth\ccm\ccm_memory.c,39,"int ccm_memory(int cipher, const unsigned char * key, unsigned long keylen, symmetric_key * uskey, const unsigned char * nonce, unsigned long noncelen, const unsigned char * header, unsigned long headerlen, unsigned char * pt, unsigned long ptlen, unsigned char * ct, unsigned char * tag, unsigned long * taglen, int direction)",1.8404669999999999,0.8404669,1.0,0.0,257,54,54,4,4,2,0,0,False
libtomcrypt\src\pk\ecc\ecc_sign_hash.c,32,"int ecc_sign_hash_ex(const unsigned char * in, unsigned long inlen, unsigned char * out, unsigned long * outlen, prng_state * prng, int wprng, ecc_signature_type sigformat, int * recid, const ecc_key * key)",1.0952381000000002,0.0952381,1.0,0.0,126,12,12,1,1,1,0,0,False
libtomcrypt\src\hashes\sha1.c,191,"int sha1_done(hash_state * md, unsigned char * out)",1.1,0.1,1.0,0.0,30,3,3,1,1,1,0,0,False
libtomcrypt\src\prngs\fortuna.c,102,static int _fortuna_reseed(prng_state * prng),2.983333,1.5833333,1.4,0.0,60,19,29,5,7,3,0,2,False
libtomcrypt\src\pk\ed25519\ed25519_sign.c,26,"int ed25519_sign(const unsigned char * msg, unsigned long msglen, unsigned char * sig, unsigned long * siglen, const curve25519_key * private_key)",1.0967742,0.09677419,1.0,0.0,31,3,3,1,1,1,0,0,False
libtomcrypt\src\hashes\blake2b.c,597,int blake2b_160_test(void),3.318182,1.8181819,1.5,0.0,33,30,59,2,3,2,0,3,False
libtomcrypt\tests\store_test.c,12,int store_test(void),1.6666667000000002,0.6666667,1.0,0.0,60,20,20,2,2,1,0,0,False
libtomcrypt\src\hashes\md2.c,149,"int md2_done(hash_state * md, unsigned char * out)",1.1363636000000001,0.13636364,1.0,0.0,22,3,3,1,1,1,0,0,False
libtomcrypt\src\prngs\sober128.c,181,int sober128_test(void),3.35,1.85,1.5,0.0,40,37,73,2,3,2,0,3,False
libtomcrypt\src\mac\poly1305\poly1305_test.c,19,int poly1305_test(void),3.2857141000000003,1.7857143,1.5,0.0,28,25,49,2,3,2,0,3,False
