FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
libtomcrypt\tests\test.c,112,static void _unregister_all(void),48.893757,47.812121999999995,1.0204082,0.06122449,165,161,170,49,50,49,3,1,True
libtomcrypt\src\misc\crypt\crypt_register_all_ciphers.c,22,int register_all_ciphers(void),23.935896,22.76923,1.0416665999999999,0.125,78,74,83,24,25,24,3,1,True
libtomcrypt\demos\timing.c,65,static ulong64 rdtsc(void),22.631485,12.093022999999999,6.4615383,4.076923000000001,43,40,465,13,84,14,53,44,True
libtomcrypt\src\mac\hmac\hmac_test.c,51,int hmac_test(void),14.843969,12.920892,1.0769231000000001,0.84615386,493,490,1363,13,14,4,11,3,True
libtomcrypt\tests\file_test.c,13,int file_test(void),11.577419,9.677419,1.1,0.8,93,90,244,10,11,10,8,1,True
libtomcrypt\demos\timing.c,1156,static void time_encmacs_(unsigned long MAC_SIZE),11.21606,7.841059700000001,2.25,1.125,151,148,882,8,18,7,9,1,True
libtomcrypt\demos\timing.c,1019,static void time_macs_(unsigned long MAC_SIZE),10.919872,7.794872,2.375,0.75,117,114,784,8,19,7,6,1,True
libtomcrypt\src\misc\hkdf\hkdf_test.c,33,int hkdf_test(void),9.336869,6.908297,1.2857143,1.1428572,229,226,777,7,9,6,8,3,True
libtomcrypt\src\misc\pkcs5\pkcs_5_test.c,31,int pkcs_5_test(void),8.740477,6.883333,1.1428572,0.71428573,180,177,411,7,8,4,5,3,True
libtomcrypt\src\encauth\gcm\gcm_mult_h.c,22,"void gcm_mult_h(const gcm_state * gcm, unsigned char * I)",8.032258,5.032258000000001,1.5,1.5,31,26,82,6,9,4,9,3,True
libtomcrypt\src\modes\lrw\lrw_process.c,27,"int lrw_process(const unsigned char * pt, unsigned char * ct, unsigned long len, int mode, symmetric_LRW * lrw)",6.4734300000000005,4.695652,1.4444443999999999,0.33333334,69,36,67,9,13,3,3,4,True
libtomcrypt\src\ciphers\anubis.c,1168,int anubis_test(void),6.2123823,3.9623826,1.5,0.75,319,316,1066,4,6,3,3,6,True
libtomcrypt\src\misc\crypt\crypt_inits.c,40,int crypt_mp_init(const char * mpi),6.1,4.9333334,1.0,0.16666667,45,37,44,6,6,5,1,0,True
libtomcrypt\src\prngs\rng_get_bytes.c,19,"static unsigned long _rng_nix(unsigned char * buf, unsigned long len, void( * callback)(void))",5.75,3.5,1.5,0.75,32,28,64,4,6,3,3,2,True
libtomcrypt\src\encauth\ocb3\ocb3_test.c,22,int ocb3_test(void),5.701807,3.9518072999999996,1.25,0.5,249,246,497,4,5,3,2,3,True
libtomcrypt\src\modes\lrw\lrw_setiv.c,25,"int lrw_setiv(const unsigned char * IV, unsigned long len, symmetric_LRW * lrw)",4.763158,2.7631577999999997,1.4,0.6,38,21,40,5,7,3,3,2,True
libtomcrypt\src\encauth\eax\eax_test.c,22,int eax_test(void),4.6107664,2.9440994,1.3333334,0.33333334,161,158,318,3,4,3,1,3,True
libtomcrypt\src\encauth\ocb\ocb_test.c,22,int ocb_test(void),4.5963544999999995,2.9296875,1.3333334,0.33333334,128,125,252,3,4,3,1,3,True
libtomcrypt\src\mac\blake2\blake2bmac_file.c,23,"int blake2bmac_file(const char * fname, const unsigned char * key, unsigned long keylen, unsigned char * mac, unsigned long * maclen)",4.49359,2.8269231,1.3333334,0.33333334,52,49,95,3,4,3,1,1,True
libtomcrypt\src\mac\blake2\blake2smac_file.c,23,"int blake2smac_file(const char * fname, const unsigned char * key, unsigned long keylen, unsigned char * mac, unsigned long * maclen)",4.49359,2.8269231,1.3333334,0.33333334,52,49,95,3,4,3,1,1,True
libtomcrypt\src\mac\poly1305\poly1305_file.c,28,"int poly1305_file(const char * fname, const unsigned char * key, unsigned long keylen, unsigned char * mac, unsigned long * maclen)",4.49359,2.8269231,1.3333334,0.33333334,52,49,95,3,4,3,1,1,True
libtomcrypt\src\stream\salsa20\xsalsa20_test.c,31,int xsalsa20_test(void),4.475178,2.8085107999999996,1.3333334,0.33333334,47,44,105,3,4,3,1,3,True
libtomcrypt\src\mac\hmac\hmac_file.c,28,"int hmac_file(int hash, const char * fname, const unsigned char * key, unsigned long keylen, unsigned char * out, unsigned long * outlen)",4.4080462,2.7413792999999997,1.3333334,0.33333334,58,53,102,3,4,3,1,1,True
libtomcrypt\src\mac\f9\f9_file.c,28,"int f9_file(int cipher, const unsigned char * key, unsigned long keylen, const char * fname, unsigned char * out, unsigned long * outlen)",4.345238,2.6785715,1.3333334,0.33333334,56,50,96,3,4,3,1,1,True
