FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
lvgl\src\lv_themes\lv_theme_material.c,404,static void cb_init(void),2.8965516,0.8965517,2.0,0.0,29,26,52,1,2,2,0,1,False
lvgl\src\lv_objx\lv_ta.c,1839,"static void update_cursor_position_on_click(lv_obj_t * ta, lv_signal_t sign, lv_indev_t * click_source)",2.9761906000000002,1.4761904,1.5,0.0,84,62,74,2,3,2,0,1,False
lvgl\src\lv_themes\lv_theme_nemo.c,310,static void slider_init(void),2.8125,0.8125,2.0,0.0,16,13,26,1,2,2,0,1,False
lvgl\src\lv_objx\lv_ta.c,473,"void lv_ta_set_text(lv_obj_t * ta, const char * txt)",2.1923077,0.6923077,1.5,0.0,52,18,22,2,3,2,0,1,False
lvgl\src\lv_objx\lv_label.c,442,"void lv_label_set_text_sel_start(lv_obj_t * label, uint16_t index)",2.8333334999999997,1.3333334,1.5,0.0,12,8,13,2,3,2,0,1,False
lvgl\src\lv_themes\lv_theme_templ.c,291,static void ddlist_init(void),2.625,0.625,2.0,0.0,8,5,10,1,2,2,0,1,False
lvgl\src\lv_themes\lv_theme_default.c,358,"static void style_mod(lv_group_t * group, lv_style_t * style)",4.029412000000001,1.5294118,2.5,0.0,17,13,33,2,5,2,0,3,False
lvgl\src\lv_themes\lv_theme_night.c,326,static void chart_init(void),1.5,0.5,1.0,0.0,6,3,3,1,1,1,0,0,False
lvgl\src\lv_themes\lv_theme_material.c,831,"static void style_mod_edit(lv_group_t * group, lv_style_t * style)",4.0555553,1.5555556000000001,2.5,0.0,18,14,35,2,5,2,0,3,False
lvgl\src\lv_themes\lv_theme_default.c,381,"static void style_mod_edit(lv_group_t * group, lv_style_t * style)",4.029412000000001,1.5294118,2.5,0.0,17,13,33,2,5,2,0,3,False
lvgl\src\lv_themes\lv_theme_night.c,681,static void table_init(void),2.8,0.8,2.0,0.0,15,12,24,1,2,2,0,1,False
lvgl\src\lv_themes\lv_theme_mono.c,367,static void roller_init(void),2.7,0.7,2.0,0.0,10,7,14,1,2,2,0,1,False
lvgl\src\lv_themes\lv_theme_nemo.c,649,static void ddlist_init(void),2.8421054,0.84210527,2.0,0.0,19,16,32,1,2,2,0,1,False
lvgl\src\lv_themes\lv_theme_alien.c,487,static void cb_init(void),2.9347825000000003,0.9347825999999999,2.0,0.0,46,43,86,1,2,2,0,1,False
lvgl\src\lv_objx\lv_list.c,769,"void lv_list_focus(const lv_obj_t * btn, lv_anim_enable_t anim)",1.3333334,0.33333334,1.0,0.0,9,3,3,1,1,1,0,0,False
lvgl\src\lv_themes\lv_theme_zen.c,328,static void preload_init(void),2.5,0.5,2.0,0.0,6,3,6,1,2,2,0,1,False
lvgl\src\lv_objx\lv_tabview.c,649,uint16_t lv_tabview_get_anim_time(const lv_obj_t * tabview),2.7727272999999997,1.2727273000000001,1.5,0.0,11,7,12,2,3,2,0,1,False
lvgl\src\lv_objx\lv_ta.c,1138,bool lv_ta_text_is_selected(const lv_obj_t * ta),3.0,1.5,1.5,0.0,16,12,17,2,3,2,0,1,False
lvgl\src\lv_draw\lv_draw_rect.c,666,"static void lv_draw_rect_border_corner(const lv_area_t * coords, const lv_area_t * mask, const lv_style_t * style, lv_opa_t opa_scale)",3.6581468999999998,2.6581468999999998,1.0,0.0,313,208,208,4,4,1,0,0,False
lvgl\src\lv_themes\lv_theme_mono.c,269,static void cb_init(void),2.7272727000000003,0.72727275,2.0,0.0,11,8,16,1,2,2,0,1,False
lvgl\src\lv_objx\lv_img.c,124,"void lv_img_set_src(lv_obj_t * img, const void * src_img)",3.1311476000000003,0.13114753,3.0,0.0,61,8,24,1,3,3,0,0,False
lvgl\src\lv_objx\lv_tileview.c,65,"lv_obj_t * lv_tileview_create(lv_obj_t * par, const lv_obj_t * copy)",1.2033899,0.20338982,1.0,0.0,59,6,6,2,2,1,0,0,False
lvgl\src\lv_objx\lv_label.c,74,"lv_obj_t * lv_label_create(lv_obj_t * par, const lv_obj_t * copy)",1.5070421999999999,0.5070422,1.0,0.0,71,12,12,3,3,3,0,0,False
lvgl\src\lv_themes\lv_theme_nemo.c,610,static void list_init(void),2.9117646,0.9117646999999999,2.0,0.0,34,31,62,1,2,2,0,1,False
lvgl\src\lv_objx\lv_ta.c,904,"void lv_ta_set_pwd_show_time(lv_obj_t * ta, uint16_t time)",1.3333334,0.33333334,1.0,0.0,9,3,3,1,1,1,0,0,False
lvgl\src\lv_objx\lv_ta.c,576,"void lv_ta_set_cursor_pos(lv_obj_t * ta, int16_t pos)",1.3333334,0.33333334,1.0,0.0,54,18,18,1,1,1,0,0,False
lvgl\src\lv_themes\lv_theme_default.c,242,static void kb_init(void),1.7272726999999999,0.72727275,1.0,0.0,11,8,8,1,1,1,0,0,False
lvgl\src\lv_themes\lv_theme_zen.c,293,static void gauge_init(void),2.8,0.8,2.0,0.0,15,12,24,1,2,2,0,1,False
lvgl\src\lv_themes\lv_theme_mono.c,152,static void led_init(void),2.75,0.75,2.0,0.0,12,9,18,1,2,2,0,1,False
lvgl\src\lv_themes\lv_theme_alien.c,408,static void arc_init(void),2.8235295,0.8235294,2.0,0.0,17,14,28,1,2,2,0,1,False
lvgl\src\lv_objx\lv_tileview.c,213,"void lv_tileview_set_tile_act(lv_obj_t * tileview, lv_coord_t x, lv_coord_t y, lv_anim_enable_t anim)",2.0545454,1.0545454,1.0,0.0,55,29,29,2,2,1,0,0,False
lvgl\src\lv_core\lv_indev.c,512,"static void indev_encoder_proc(lv_indev_t * i, lv_indev_data_t * data)",3.4423077000000006,1.9423077000000002,1.5,0.0,104,101,106,2,3,2,0,1,False
lvgl\src\lv_themes\lv_theme_mono.c,136,static void img_init(void),2.5714285,0.5714286,2.0,0.0,7,4,8,1,2,2,0,1,False
lvgl\src\lv_themes\lv_theme_alien.c,273,static void img_init(void),2.7857141,0.78571427,2.0,0.0,14,11,22,1,2,2,0,1,False
lvgl\src\lv_themes\lv_theme_night.c,561,static void list_init(void),2.9423077,0.9423077,2.0,0.0,52,49,98,1,2,2,0,1,False
lvgl\src\lv_objx\lv_btn.c,250,"void lv_btn_set_ink_out_time(lv_obj_t * btn, uint16_t time)",3.8846154000000004,1.3846154,2.5,0.0,13,9,26,2,5,3,0,1,False
lvgl\src\lv_themes\lv_theme_alien.c,632,static void list_init(void),2.9166667,0.9166667,2.0,0.0,36,33,66,1,2,2,0,1,False
lvgl\src\lv_themes\lv_theme_templ.c,182,static void chart_init(void),1.5,0.5,1.0,0.0,6,3,3,1,1,1,0,0,False
lvgl\src\lv_core\lv_debug.c,85,bool lv_debug_check_style(const lv_style_t * style),1.5454545,0.54545456,1.0,0.0,11,6,6,1,1,1,0,0,False
lvgl\src\lv_misc\lv_printf.c,314,"static size_t _ftoa(out_fct_type out, char * buffer, size_t idx, size_t maxlen, double value, unsigned int prec, unsigned int width, unsigned int flags)",1.6041666,0.104166664,1.5,0.0,96,5,9,2,3,2,0,1,False
lvgl\src\lv_draw\lv_draw_rect.c,1454,"static lv_opa_t antialias_get_opa_circ(lv_coord_t seg, lv_coord_t px_id, lv_opa_t opa)",3.2857144,2.2857144,1.0,0.0,21,12,12,4,4,1,0,0,False
lvgl\src\lv_themes\lv_theme_alien.c,147,static void cont_init(void),2.5,0.5,2.0,0.0,6,3,6,1,2,2,0,1,False
lvgl\src\lv_themes\lv_theme_mono.c,219,static void lmeter_init(void),2.8,0.8,2.0,0.0,15,12,24,1,2,2,0,1,False
lvgl\src\lv_themes\lv_theme_alien.c,237,static void bar_init(void),1.909091,0.90909094,1.0,0.0,33,30,30,1,1,1,0,0,False
