FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
neovim\src\nvim\os\env.c,405,void init_homedir(void),2.6666665000000003,1.6666666,1.0,0.0,54,45,45,2,2,2,0,0,False
neovim\src\nvim\path.c,1885,"int pathcmp(const char * p, const char * q, int maxlen)",1.8154762,0.48214287,1.3333334,0.0,56,9,13,3,4,2,0,1,False
neovim\src\nvim\spell.c,3537,static void suggest_try_change(suginfo_T * su),1.5217391000000002,0.5217391,1.0,0.0,23,6,6,2,2,1,0,0,False
neovim\src\nvim\ex_getln.c,258,"static uint8_t * command_line_enter(int firstc, long count, int indent)",1.0146341,0.014634146,1.0,0.0,205,3,3,1,1,1,0,1,False
neovim\src\nvim\log.c,274,"static bool v_do_log_to_file(FILE * log_file, int log_level, const char * context, const char * func_name, int line_num, bool eol, const char * fmt, va_list args)",1.1176469999999998,0.11764706,1.0,0.0,51,6,6,1,1,1,0,1,False
neovim\src\nvim\state.c,25,void state_enter(VimState * s),2.0833333,0.083333336,2.0,0.0,36,3,6,1,2,2,0,0,False
neovim\src\nvim\hashtab.c,186,void hash_debug_results(void),1.75,0.75,1.0,0.0,12,9,9,1,1,1,0,0,False
neovim\src\nvim\mbyte.c,1265,int mb_tolower(int a),1.3333334,0.33333334,1.0,0.0,12,4,4,1,1,1,0,0,False
neovim\src\nvim\event\loop.c,134,"bool loop_close(Loop * loop, bool wait)",1.9736842,0.47368422,1.5,0.0,38,9,17,2,3,2,0,1,False
neovim\src\nvim\ex_getln.c,3744,"char_u * ExpandOne(expand_T * xp, char_u * str, char_u * orig, int options, int mode)",1.0270270000000001,0.027027027999999998,1.0,0.0,148,4,4,1,1,1,0,0,False
neovim\src\nvim\path.c,186,char_u * get_past_head(const char_u * path),1.3846154,0.38461540000000005,1.0,0.0,13,5,5,1,1,1,0,0,False
