FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
neovim\src\nvim\eval\funcs.c,3308,"static void f_getftype(typval_T * argvars, typval_T * rettv, FunPtr fptr)",13.828570999999998,11.4,1.1428572,1.2857143,70,57,159,14,16,13,18,2,True
neovim\src\nvim\os\process.c,107,"int os_proc_children(int ppid, int * * proc_list, size_t * proc_count)",12.704348,8.804348,2.5,1.4,92,81,354,10,25,7,14,8,True
neovim\src\nvim\if_cscope.c,666,static int cs_create_connection(size_t i),11.245198,9.06338,1.4545455,0.72727275,142,117,207,11,16,4,8,4,True
neovim\src\nvim\if_cscope.c,1778,"static void cs_release_csp(size_t i, int freefnpp)",8.311688,5.4545455,1.4285715,1.4285715,77,60,130,7,10,5,10,3,True
neovim\src\nvim\eval\funcs.c,6707,"static void f_resolve(typval_T * argvars, typval_T * rettv, FunPtr fptr)",6.0610237,3.8110237000000002,1.5,0.75,127,121,360,4,6,3,3,2,True
neovim\src\nvim\os\env.c,281,char * os_getenvname_at_index(size_t index),6.023585,3.7735847999999996,1.5,0.75,53,50,79,4,6,3,3,2,True
neovim\src\nvim\os\env.c,236,"void os_copy_fullenv(char * * env, size_t env_size)",5.886364,3.6363637000000004,1.5,0.75,33,30,50,4,6,3,3,2,True
neovim\src\nvim\regexp_nfa.c,2706,"static void st_error(int * postfix, int * end, int * p)",5.828947,3.5789473,1.25,1.0,38,34,67,4,5,3,4,1,True
neovim\src\nvim\os\env.c,188,size_t os_get_fullenv_size(void),5.509258999999999,3.2592592000000002,1.5,0.75,27,22,42,4,6,3,3,2,True
neovim\src\nvim\ex_cmds2.c,3852,char * get_mess_lang(void),5.25,3.0,1.5,0.75,20,15,34,4,6,3,3,2,True
neovim\src\nvim\path.c,208,int vim_ispathsep(int c),5.25,3.0,1.5,0.75,12,9,26,4,6,3,3,2,True
neovim\src\nvim\path.c,1769,char * fix_fname(const char * fname),5.15,3.4,1.25,0.5,20,17,39,4,5,4,2,1,True
neovim\src\nvim\os\lang.c,17,void lang_init(void),4.8,2.8,1.0,1.0,45,42,51,3,3,3,3,0,True
neovim\src\nvim\os\fs.c,153,int os_nodetype(const char * name) FUNC_ATTR_NONNULL_ALL,4.4,2.7333333,1.3333334,0.33333334,45,41,74,3,4,3,1,3,True
neovim\src\nvim\tui\terminfo.c,37,bool terminfo_is_bsd_console(const char * term),4.3846154,1.3846154,2.5,0.5,13,9,39,2,5,4,1,0,True
