FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
radare2\libr\core\cbin.c,1782,"static int bin_imports(RCore * r, int mode, int va, const char * name)",1.0420169,0.042016807999999996,1.0,0.0,119,5,5,1,1,1,0,0,False
radare2\shlr\zip\zlib\deflate.c,1164,"local unsigned read_buf(strm, buf, size) z_streamp strm; Bytef * buf; unsigned size;",1.2272726999999999,0.22727273,1.0,0.0,22,5,5,1,1,1,0,0,False
radare2\libr\core\cfile.c,341,"static int r_core_file_do_load_for_debug(RCore * r, ut64 baseaddr, const char * filenameuri)",2.7052237999999997,0.95522386,1.5,0.25,67,16,28,4,6,4,1,3,False
radare2\shlr\zip\zlib\deflate.c,376,"int ZEXPORT deflateSetDictionary(strm, dictionary, dictLength) z_streamp strm; const Bytef * dictionary; uInt dictLength;",1.05,0.05,1.0,0.0,60,3,3,1,1,1,0,1,False
radare2\libr\util\unum.c,147,"R_API ut64 r_num_get(RNum * num, const char * str)",1.0136364,0.013636364,1.0,0.0,220,3,3,1,1,1,0,0,False
radare2\libr\main\r2agent.c,33,"R_API int r_main_r2agent(int argc, const char * * argv)",1.6396104,0.38961038,1.25,0.0,154,15,19,4,5,4,0,1,False
radare2\libr\debug\p\native\xnu\xnu_debug.c,525,"RList * xnu_thread_list(RDebug * dbg, int pid, RList * list)",6.173333599999999,0.84000003,5.3333335,0.0,25,7,48,3,16,7,0,3,False
radare2\libr\debug\debug.c,1509,"R_API int r_debug_continue_syscalls(RDebug * dbg, int * sc, int n_sc)",1.0508473999999999,0.050847456,1.0,0.0,59,3,3,1,1,1,0,0,False
radare2\shlr\zip\zlib\inffast.c,50,"void ZLIB_INTERNAL inflate_fast(strm, start) z_streamp strm; unsigned start;",1.516129,0.516129,1.0,0.0,248,32,32,4,4,2,0,0,False
radare2\libr\util\sys.c,398,"R_API int r_sys_setenv(const char * key, const char * value)",5.0666666,2.4,2.6666667,0.0,25,20,56,3,8,3,0,3,False
radare2\libr\bin\format\coff\coff.c,64,RBinAddr * r_coff_get_entry(struct r_bin_coff_obj * obj),1.097561,0.09756097,1.0,0.0,41,4,4,1,1,1,0,1,False
radare2\libr\util\file.c,29,"static int file_stat(const char * file, struct stat * const pStat)",2.875,1.375,1.5,0.0,16,11,15,2,3,2,0,1,False
radare2\libr\util\thread_lock.c,54,R_API int r_th_lock_leave(RThreadLock * thl),3.5,1.5,2.0,0.0,8,6,15,2,4,3,0,1,False
radare2\libr\util\sys.c,335,R_API int r_sys_sleep(int secs),5.2051287,2.5384617,2.6666667,0.0,13,11,31,3,8,3,0,3,False
radare2\libr\lang\lang.c,27,R_API RLang * r_lang_new(),1.0967742,0.09677419,1.0,0.0,31,3,3,1,1,1,0,0,False
radare2\libr\util\sys.c,569,R_API int r_sys_thp_mode(void),3.2777777,1.7777778000000002,1.5,0.0,18,16,20,2,3,2,0,1,False
radare2\libr\util\syscmd.c,12,"static char * showfile(char * res, const int nth, const char * fpath, const char * name, int printfmt)",3.3417475,1.9417475,1.2,0.2,103,40,48,5,6,3,1,1,False
radare2\libr\io\p\io_debug.c,547,"static RIODesc * __open(RIO * io, const char * file, int rw, int mode)",3.7848837,1.5348837,2.25,0.0,86,33,75,4,9,3,0,3,False
radare2\libr\io\p\io_r2k.c,61,static int r2k__close(RIODesc * fd),5.7333336,2.4,3.3333333,0.0,15,12,41,3,10,4,0,5,False
radare2\libr\io\p\io_gprobe.c,509,static int sp_flush(struct gport * port),3.1,1.6,1.5,0.0,15,12,18,2,3,2,0,1,False
radare2\libr\util\mem.c,345,"R_API void * r_mem_mmap_resize(RMmap * m, ut64 newsize)",3.3043480000000005,1.3043479,2.0,0.0,23,15,26,2,4,3,0,1,False
radare2\libr\util\sys.c,1201,R_API int r_sys_getpid(),5.0666666,2.4,2.6666667,0.0,10,8,28,3,8,3,0,3,False
radare2\libr\debug\p\debug_native.c,1236,"static void sync_drx_regs(RDebug * dbg, drxt * regs, size_t num_regs)",4.2647057,1.7647058999999998,2.5,0.0,17,15,35,2,5,3,0,1,False
radare2\libr\bin\pdb\pdb_downloader.c,8,static bool checkExtract(),3.0,1.5,1.5,0.0,12,9,15,2,3,2,0,1,False
radare2\libr\asm\arch\tricore\gnu\tricore-dis.c,1157,"static void print_decoded_insn(memaddr, info) bfd_vma memaddr; struct disassemble_info * info;",1.5308642,0.030864198,1.5,0.0,324,5,9,2,3,2,0,1,False
radare2\libr\util\file.c,300,R_API char * r_stdin_slurp(int * sz),4.3636365,1.8636363999999999,2.5,0.0,44,41,88,2,5,3,0,1,False
radare2\shlr\sdb\src\cdb.c,48,"bool cdb_init(struct cdb * c, int fd)",3.8157894999999997,2.3157895,1.5,0.0,38,22,36,4,6,2,0,2,False
radare2\shlr\grub\kern\misc.c,1049,void grub_abort(void),1.25,0.25,1.0,0.0,12,3,3,1,1,1,0,1,False
radare2\libr\util\file.c,1157,"bool r_file_copy(const char * src, const char * dst)",5.452381,2.7857141,2.6666667,0.0,28,26,86,3,8,3,0,3,False
radare2\libr\debug\p\native\linux\linux_debug.c,1139,"int linux_reg_write(RDebug * dbg, int type, const ut8 * buf, int size)",9.110119000000001,5.3958330000000005,3.7142856,0.0,48,37,130,7,26,10,0,6,False
radare2\binr\r2r\r2r.c,440,"static void print_diff(const char * actual, const char * expected)",3.3636364999999997,1.8636363999999999,1.5,0.0,44,41,56,2,3,2,0,1,False
radare2\libr\util\thread.c,14,static void * _r_th_launcher(void * _th),2.6060605,1.2727273000000001,1.3333334,0.0,33,14,20,3,4,3,0,1,False
radare2\libr\core\cconfig.c,2808,R_API int r_core_config_init(RCore * core),5.113303,3.2984885999999998,1.8148148000000002,0.0,794,97,189,27,49,14,0,12,False
radare2\libr\debug\debug.c,1139,"R_API int r_debug_continue_kill(RDebug * dbg, int sig)",4.234286,2.52,1.5714285,0.14285715,125,45,74,7,11,4,1,2,False
radare2\shlr\sdb\src\json.c,107,"SDB_API bool sdb_json_set(Sdb * s, const char * k, const char * p, const char * v, ut32 cas)",1.03125,0.03125,1.0,0.0,128,4,4,1,1,1,0,1,False
radare2\libr\crypto\p\crypto_rc6.c,22,"static bool rc6_init(struct rc6_state * const state, const ut8 * key, int keylen, int direction)",1.9649123,0.6315789,1.3333334,0.0,38,8,12,3,4,2,0,1,False
