FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
radare2\shlr\qnx\src\sigutil.c,327,"static int do_target_signal_to_host(enum target_signal oursig, int * oursig_ok)",52.96470600000001,51.764706,1.1454545,0.054545455,238,224,265,55,63,56,3,1,True
radare2\libr\debug\p\debug_native.c,463,"static RDebugReasonType r_debug_native_wait(RDebug * dbg, int pid) #3",41.596428,30.625,3.9714286,7.0,104,91,403,35,139,25,245,71,True
radare2\libr\debug\p\native\linux\linux_debug.c,27,char * linux_reg_profile(RDebug * dbg),19.435898,10.435898,7.818182000000001,1.1818181,39,37,479,11,86,11,13,38,True
radare2\libr\debug\p\native\reg.c,4,static char * r_debug_native_reg_profile(RDebug * dbg),18.266666,10.266666,4.909091,3.090909,30,28,254,11,54,11,34,19,True
radare2\libr\debug\p\debug_native.c,994,static RList * r_debug_native_map_get(RDebug * dbg),18.216920000000002,11.633588,2.8333333,3.75,131,127,1008,12,34,7,45,20,True
radare2\libr\debug\p\debug_native.c,730,"static int r_debug_native_reg_write(RDebug * dbg, int type, const ut8 * buf, int size)",17.54697,12.613636,3.9333334000000004,1.0,44,37,221,15,59,7,15,23,True
radare2\libr\util\thread.c,67,"R_API bool r_th_setname(RThread * th, const char * name)",17.28,5.2799997,6.1666665,5.8333335,25,22,197,6,37,8,35,10,True
radare2\libr\magic\fsmagic.c,78,"int file_fsmagic(struct r_magic_set * ms, const char * fn, struct stat * sb)",16.407894,14.25,1.2105263000000002,0.94736844,180,135,207,19,23,12,18,4,True
radare2\libr\debug\p\native\linux\linux_debug.c,978,"int linux_reg_read(RDebug * dbg, int type, ut8 * buf, int size)",16.266666,11.2,3.4,1.6666666,150,112,645,15,51,11,25,16,True
radare2\libr\util\thread.c,93,"R_API bool r_th_getname(RThread * th, char * name, size_t len)",16.2,3.2,6.75,6.25,15,12,111,4,27,10,25,3,True
radare2\shlr\zip\zlib\zutil.c,32,uLong ZEXPORT zlibCompileFlags(),14.17349,11.962963,1.3684211000000002,0.84210527,81,51,140,19,26,19,16,4,True
radare2\libr\debug\p\native\xnu\xnu_threads.c,70,"static bool xnu_thread_set_drx(RDebug * dbg, xnu_thread_t * thread)",13.761904999999999,4.9285717,8.333333,0.5,56,46,372,6,50,12,3,13,True
radare2\libr\socket\run.c,758,R_API int r_run_config_env(RRunProfile * p),13.1328125,11.1328125,1.8947368999999998,0.10526316,256,150,230,19,36,8,2,13,True
radare2\libr\debug\p\native\bsd\bsd_debug.c,257,"RList * bsd_pid_list(RDebug * dbg, RList * list)",10.99452,4.794520400000001,3.2,3.0,73,70,205,5,16,5,15,6,True
radare2\libr\io\p\io_self.c,69,"static int update_self_regions(RIO * io, int pid)",10.658576,5.8252425,3.6666667,1.1666666,103,100,530,6,22,5,7,11,True
radare2\libr\util\sys.c,1048,R_API char * r_sys_pid_to_path(int pid),10.310925,6.882353,2.2857144,1.1428572,119,117,277,7,16,5,8,7,True
radare2\libr\debug\p\native\linux\linux_debug.c,886,static void print_fpu(void * f),9.698051,6.840909,2.0,0.85714287,88,86,305,7,14,4,6,5,True
radare2\libr\socket\run.c,236,"static void setASLR(RRunProfile * r, int enabled)",9.287879,5.4545455,3.1666667,0.6666667,22,20,73,6,19,6,4,8,True
radare2\libr\socket\socket.c,258,"R_API bool r_socket_connect(RSocket * s, const char * host, const char * port, int proto, unsigned int timeout) #2",9.232766999999999,6.804196000000001,1.5714285,0.85714287,143,139,284,7,11,5,6,3,True
radare2\libr\util\sys.c,365,R_API int r_sys_clearenv(void),8.77957,5.612903,1.8333334,1.3333334,31,29,95,6,11,5,8,5,True
radare2\libr\debug\p\debug_native.c,1594,"static bool r_debug_gcore(RDebug * dbg, RBuffer * dest)",8.63077,4.2307690000000004,3.8,0.6,13,11,85,5,19,8,3,4,True
radare2\libr\util\sys.c,303,R_API void r_sys_backtrace(void),8.266666,4.6666665,2.6,1.0,30,28,100,5,13,4,5,6,True
