FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
ruby\missing\dtoa.c,1444,"double strtod(const char * s00, char * * se)",49.381879999999995,47.45165,1.2325581,0.6976744,879,485,889,86,106,16,60,33,True
ruby\ext\socket\option.c,961,"static int inspect_tcp_info(int level, int optname, VALUE data, VALUE ret)",47.893654,46.677966999999995,1.0,0.21568628,177,162,195,51,51,51,11,0,True
ruby\process.c,8159,void InitVM_process(void),33.283226,31.764708000000002,1.1851851999999998,0.33333334,289,170,330,54,64,55,18,5,True
ruby\ext\socket\option.c,1202,static VALUE sockopt_inspect(VALUE self),27.272278000000004,25.772278,1.0526316,0.4473684,202,137,188,38,40,39,17,0,True
ruby\vsnprintf.c,539,"static ssize_t BSD_vfprintf(FILE * fp, const char * fmt0, va_list ap)",26.667582,24.417582,1.9090909,0.34090909999999996,546,303,469,44,84,12,15,15,True
ruby\ext\nkf\nkf-utf8\nkf.c,6933,"int main(int argc, char * * argv)",25.963564,20.930231,3.6,1.4333333000000001,258,180,662,30,108,16,43,62,True
ruby\dln.c,1260,COMPILER_WARNING_POP #endif void * dln_load(const char * file),25.38954,18.179012,2.3157895,4.894737,162,155,817,19,44,16,93,21,True
ruby\ext\socket\socket.c,1627,static VALUE socket_s_ip_address_list(VALUE self),24.732052,11.815385000000001,7.083333500000001,5.8333335,260,256,1931,12,85,12,70,35,True
ruby\ext\pty\pty.c,254,"static int get_device_once(int * master, int * slave, char SlaveName[DEVICELEN], int nomesg, int fail)",21.877056,14.610389999999999,4.4,2.8666666000000003,154,150,1102,15,66,15,43,34,True
ruby\missing\dtoa.c,1153,"static Bigint * d2b(double d_, int * e, int * bits)",20.598485999999998,18.931818,1.2857143,0.3809524,132,119,210,21,27,6,8,12,True
ruby\st.c,1746,"st_index_t st_hash(const void * ptr, size_t len, st_index_t h)",19.785713,17.285713,1.5909091,0.90909094,126,99,230,22,35,7,20,10,True
ruby\thread_pthread.c,667,"static int get_stack(void * * addr, size_t * size)",19.475,13.541667000000002,4.866667,1.0666666999999999,72,65,511,15,73,11,16,29,True
ruby\string.c,471,"static inline const char * search_nonascii(const char * p, const char * e)",14.740541,10.540541000000001,2.6666667,1.5333333,74,52,172,15,40,7,23,12,True
ruby\hash.c,5086,"void ruby_setenv(const char * name, const char * value)",14.108088500000001,10.653542999999999,2.5454545,0.90909094,127,123,552,11,28,9,10,12,True
ruby\file.c,3660,"VALUE rb_file_expand_path_internal(VALUE fname, VALUE dname, int abs_mode, int long_name, VALUE result)",13.658214000000001,11.342424000000001,1.3157895,1.0,330,197,321,19,25,8,19,3,True
ruby\signal.c,823,"static void check_stack_overflow(int sig, const uintptr_t addr, const ucontext_t * ctx)",13.315271,9.172414,2.642857,1.5,58,38,240,14,37,9,21,17,True
ruby\ext\openssl\ossl_engine.c,93,"static VALUE ossl_engine_s_load(int argc, VALUE * argv, VALUE klass)",13.179310999999998,11.379311,1.0,0.8,58,44,80,15,15,15,12,1,True
ruby\vm_exec.c,77,"static VALUE vm_exec_core(rb_execution_context_t * ec, VALUE initial) #1",12.231034,7.931034599999999,3.6,0.7,58,46,175,10,36,9,7,9,True
ruby\win32\win32.c,2498,static void set_pioinfo_extra(void),12.034188,6.923077,2.3333333,2.7777777,65,50,136,9,21,4,25,4,True
ruby\cont.c,1376,"static void cont_restore_0(rb_context_t * cont, VALUE * addr_in_prev_frame)",10.862627,9.044445,1.2727273000000001,0.54545456,45,37,61,11,14,3,6,6,True
ruby\gc.c,11193,"static void gc_profile_dump_on(VALUE out, VALUE( * append)(VALUE, VALUE))",10.54232,8.724138,1.0,0.8181818000000001,87,69,102,11,11,5,9,0,True
ruby\ext\nkf\nkf-utf8\nkf.c,1237,static void set_input_encoding(nkf_encoding * enc),9.980533,8.918033,1.0,0.0625,122,68,73,16,16,4,1,0,True
ruby\mjit.c,478,static bool init_header_filename(void),9.822916000000001,8.15625,1.3333334,0.33333334,96,87,143,9,12,4,3,5,True
ruby\ruby.c,597,void ruby_init_loadpath(void),9.795257000000001,6.573034,1.7777778000000002,1.4444443999999999,89,65,118,9,16,5,13,8,True
ruby\missing\dtoa.c,2404,"static int quorem(Bigint * b, Bigint * S)",9.794637,7.871559599999999,1.3846154,0.53846157,109,66,166,13,18,4,7,5,True
ruby\ext\openssl\ossl.c,1128,void Init_openssl(void),9.481644000000001,6.943182000000001,1.7692307,0.7692308000000001,88,47,174,13,23,10,10,11,True
ruby\missing\setproctitle.c,138,"void setproctitle(const char * fmt, ...)",9.333333,4.3333335,2.8,2.2,30,26,135,5,14,5,11,2,True
ruby\file.c,1638,"static VALUE rb_file_symlink_p(VALUE obj, VALUE fname)",9.171429,5.6,1.4285715,2.142857,25,20,60,7,10,5,15,4,True
ruby\file.c,1676,"static VALUE rb_file_socket_p(VALUE obj, VALUE fname)",9.04969,5.478261,1.4285715,2.142857,23,18,58,7,10,5,15,4,True
ruby\ext\date\date_core.c,7735,"static VALUE datetime_s_now(int argc, VALUE * argv, VALUE klass)",8.951613,6.4516134,2.25,0.25,93,50,197,12,27,6,3,10,True
ruby\vm_dump.c,757,void rb_print_backtrace(void),8.884615,3.3846154000000004,3.25,2.25,26,22,97,4,13,7,9,4,True
ruby\ruby.c,521,static VALUE runtime_libruby_path(void),8.813725,5.647059,2.5,0.6666667,68,64,229,6,15,5,4,4,True
ruby\vm_dump.c,824,static void rb_dump_machine_register(const ucontext_t * ctx),8.764913,5.431579,2.0,1.3333334,95,86,328,6,12,5,8,3,True
ruby\ext\etc\etc.c,713,static VALUE etc_uname(VALUE obj),8.476191,5.642857,1.6666666,1.1666666,84,79,115,6,10,5,7,4,True
ruby\ext\pty\pty.c,102,"static int chfunc(void * data, char * errbuf, size_t errbuf_len)",8.26,5.76,1.625,0.875,50,36,117,8,13,8,7,3,True
ruby\ext\fiddle\handle.c,310,"static VALUE fiddle_handle_sym(void * handle, VALUE symbol)",8.005377000000001,4.83871,2.0,1.1666666,62,50,105,6,12,6,7,2,True
ruby\ext\nkf\nkf-utf8\nkf.c,776,static const char * nkf_locale_charmap(void),7.8,4.0,2.8,1.0,25,20,124,5,14,5,5,6,True
ruby\process.c,4362,"static rb_pid_t rb_spawn_process(struct rb_execarg * eargp, char * errmsg, size_t errmsg_buflen)",7.7,5.2,1.8333334,0.6666667,45,39,133,6,11,4,4,6,True
ruby\ext\-test-\file\fs.c,81,"VALUE get_noatime_p(VALUE self, VALUE str)",7.513043400000001,3.9130434999999997,1.4,2.2,23,18,43,5,7,6,11,1,True
ruby\util.c,323,"static void mmrot3_(register char * a, register char * b, register char * c, mmargdecl)",7.4857144,3.2857144,2.2,2.0,35,23,73,5,11,2,10,5,True
ruby\util.c,284,"static void mmswap_(register char * a, register char * b, mmargdecl)",7.3944445000000005,3.1944444,2.2,2.0,36,23,73,5,11,2,10,5,True
ruby\process.c,313,static void assert_close_on_exec(int fd),7.3333330000000005,2.3333334999999997,2.6666667,2.3333333,18,14,56,3,8,5,7,1,True
ruby\ext\socket\ancdata.c,1132,"static VALUE bsock_sendmsg_internal(VALUE sock, VALUE data, VALUE vflags, VALUE dest_sockaddr, VALUE controls, VALUE ex, int nonblock)",7.257142999999999,5.857143,1.1,0.3,140,82,98,10,11,4,3,1,True
