FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
vim\src\evalfunc.c,3437,"void f_has(typval_T * argvars, typval_T * rettv)",219.72476,217.86373999999998,1.8247734,0.036253776,1299,855,1864,331,604,150,12,193,True
vim\src\drawline.c,221,"int win_line(win_T * wp, linenr_T lnum, int startrow, int endrow, int nochange UNUSED, int number_only)",111.04417,109.54417,1.1573033000000001,0.34269664,2400,1477,1949,178,206,23,61,12,True
vim\src\version.c,1933,void list_version(void),65.24333,53.4403,2.4545455,9.348485,268,217,1236,66,162,37,617,92,True
vim\src\optionstr.c,641,"char * did_set_string_option(int opt_idx, char_u * * varp, int new_value_alloced, char_u * oldval, char * errbuf, int opt_flags, int * value_checked)",45.85132,44.39079,1.1842105,0.27631578,1433,837,1054,76,90,51,21,3,True
vim\src\os_unix.c,6031,"int #else static int #endif RealWaitForChar(int fd, long msec, int * check_for_gpm UNUSED, int * interrupted)",38.838814,36.8125,1.1578947,0.8684211,288,279,663,38,44,15,33,7,True
vim\src\main.c,455,int vim_main2(void),38.565284999999996,35.343063,1.3888888000000001,1.8333334,274,269,564,36,50,23,66,7,True
vim\src\option.c,73,void set_init_1(int clean_arg),37.93618,33.238506,2.0,2.6976744999999998,348,269,739,43,86,22,116,23,True
vim\src\tag.c,1545,"int find_tags(char_u * pat, int * num_matches, char_u * * * matchesp, int flags, int mincount, char_u * buf_ffname)",36.029102,34.870373,1.0793651000000002,0.07936508,972,538,570,63,68,7,5,5,True
vim\src\gui_gtk.c,2113,"static void find_replace_dialog_create(char_u * arg, int do_replace)",29.323036,27.681528000000004,1.6226416000000001,0.018867925,314,164,335,53,86,2,1,30,True
vim\src\mouse.c,2104,"int check_termcode_mouse(char_u * tp, int * slen, char_u * key_name, char_u * modifiers_start, int idx, int * modifiers)",28.647579999999998,25.94758,1.4333333000000001,1.2666667,496,429,1138,30,43,14,38,6,True
vim\src\option.c,2560,"static char * set_bool_option(int opt_idx, char_u * varp, int value, int opt_flags)",28.35264,27.070590000000003,1.0256411,0.25641027,425,295,351,39,40,25,10,0,True
vim\src\option.c,5100,static char_u * get_varp(struct vimoption * p),26.96862,25.84362,1.075,0.05,243,157,175,40,43,26,2,0,True
vim\src\gui_gtk_x11.c,3568,int gui_mch_init(void),26.213279999999997,24.572254,1.2051281999999999,0.43589744,346,218,338,39,47,13,17,13,True
vim\src\fileio.c,4669,"char_u * vim_tempname(int extra_char UNUSED, int keep UNUSED)",25.882011,21.06383,1.9545455000000003,2.8636362999999996,141,135,550,22,43,9,63,17,True
vim\src\gui.c,2229,"static int gui_outstr_nowrap(char_u * s, int len, int flags, guicolor_T fg, guicolor_T bg, int back)",24.026646,21.793312,1.3666667,0.8666666999999999,329,239,462,30,41,11,26,8,True
vim\src\main.c,99,"int #if defined(MSWIN) VimMain #else main #endif(int argc, char * * argv)",23.054188,21.571428,1.3793103999999998,0.10344828,203,151,251,29,40,21,3,4,True
vim\src\main.c,3465,static void usage(void),21.90811,20.108109,1.2,0.6,185,124,188,30,36,26,18,3,True
vim\src\term.c,4339,"int check_termcode(int max_offset, char_u * buf, int bufsize, int * buflen)",21.622147000000002,19.9683,1.0384616,0.61538464,694,533,676,26,27,15,16,2,True
vim\src\ex_docmd.c,612,"int do_cmdline(char_u * cmdline, char_u *( * fgetline)(int, void *, int, int), void * cookie, int flags)",20.465721,19.234951000000002,1.1153846,0.115384616,515,381,412,26,29,3,3,3,True
vim\src\gui.c,484,void gui_init(void),19.864114999999998,17.831858,1.3225806999999998,0.7096774,226,130,242,31,41,20,22,6,True
vim\src\os_amiga.c,1195,"int mch_call_shell(char_u * cmd, int options)",19.363401,17.113401,1.25,1.0,194,166,332,20,25,4,20,7,True
vim\src\term.c,1779,int set_termname(char_u * term),18.780985,17.388128,1.2142857,0.17857143,219,136,200,28,34,11,5,2,True
vim\src\if_cscope.c,779,static int cs_create_connection(int i),18.160870000000003,15.76087,1.65,0.75,184,145,264,20,33,7,15,8,True
vim\src\os_unix.c,437,long_u mch_total_mem(int special UNUSED),18.115154,15.703389999999999,1.4117647,1.0,118,109,221,17,24,13,17,5,True
vim\src\memfile.c,537,"int mf_sync(memfile_T * mfp, int flags)",16.949581,9.714286,2.2941177,4.941176400000001,105,60,334,17,39,17,84,13,True
vim\src\session.c,1072,void ex_mkrc(exarg_T * eap),16.80027,15.589744,1.1052631000000002,0.10526316,195,160,177,19,21,6,2,1,True
vim\src\os_unix.c,3794,void check_mouse_termcode(void),16.202289999999998,14.702291,1.0,0.5,131,107,134,18,18,9,9,0,True
vim\src\optionstr.c,199,void check_buf_options(buf_T * buf),15.839175,14.639175,1.15,0.05,97,71,84,20,23,16,1,0,True
vim\src\misc2.c,1043,void free_all_mem(void),15.474074,14.400001000000001,1.037037,0.037037037,165,88,94,27,28,24,1,0,True
vim\src\os_unix.c,3428,void mch_settmode(int tmode),15.397273,12.012658,1.4615383999999998,1.9230769,79,73,167,13,19,9,25,7,True
vim\src\buffer.c,2217,"void free_buf_options(buf_T * buf, int free_p_ff)",15.307142,14.107142000000001,1.15,0.05,112,79,92,20,23,16,1,0,True
vim\src\main.c,1771,static void early_arg_scan(mparm_T * parmp UNUSED),15.157407999999998,11.407408,1.5833334,2.1666667,81,77,356,12,19,7,26,4,True
vim\src\option.c,802,void set_init_3(void),14.666479,12.051095,1.2307693000000002,1.3846154,137,127,283,13,16,5,18,2,True
vim\src\option.c,5412,"void copy_winopt(winopt_T * from, winopt_T * to)",14.427206,13.364706,1.0,0.0625,85,71,75,16,16,12,1,0,True
vim\src\scriptfile.c,1074,"int do_source(char_u * fname, int check_other, int is_vimrc, int * ret_sid UNUSED)",14.40315,13.084968,1.1363636000000001,0.18181819,306,182,222,22,25,6,4,3,True
vim\src\gui_w32.c,4443,"static LRESULT CALLBACK _WndProc(HWND hwnd, UINT uMsg, WPARAM wParam, LPARAM lParam)",14.351497,12.645614,1.2352941000000002,0.47058824,285,212,420,17,21,8,8,1,True
vim\src\gui.c,3931,"void gui_drag_scrollbar(scrollbar_T * sb, long value, int still_dragging)",14.035806,12.565217,1.2941177,0.1764706,161,119,159,17,22,8,3,5,True
vim\src\message.c,3024,void mch_errmsg(char * str),13.969697,10.333333,2.0,1.6363636000000001,66,62,225,11,22,8,18,6,True
vim\src\findfile.c,698,char_u * vim_findfile(void * search_ctx_arg),13.859523000000001,12.716666,1.0476191,0.0952381,360,218,227,21,22,3,2,1,True
vim\src\os_win32.c,1774,"int mch_inchar(char_u * buf UNUSED, int maxlen UNUSED, long time UNUSED, int tb_change_cnt UNUSED)",13.779410999999998,11.529411,1.3333334,0.9166667,204,196,448,12,16,5,11,4,True
vim\src\os_unix.c,5934,"static int WaitForCharOrMouse(long msec, int * interrupted, int ignore_input)",13.594595000000002,11.594595,1.3076923,0.6923077,74,66,165,13,17,5,9,2,True
vim\src\main.c,1162,"void main_loop(int cmdwin, int noexmode)",13.3593445,12.272388000000001,1.0434783,0.04347826,268,143,170,23,24,15,1,0,True
vim\src\if_mzsch.c,1021,static int startup_mzscheme(void),12.965046000000001,11.393616999999999,1.1428572,0.42857143,188,153,233,14,16,8,6,4,True
vim\src\ui.c,881,void fill_input_buf(int exit_on_error UNUSED),12.936363,9.636363000000001,1.7,1.6,110,106,418,10,17,8,16,3,True
vim\src\memline.c,4536,"static char_u * findswapname(buf_T * buf, char_u * * dirp, char_u * old_fname)",12.803486999999999,11.453486999999999,1.15,0.2,344,197,282,20,23,12,4,3,True
vim\src\misc1.c,1299,"void expand_env_esc(char_u * srcp, char_u * dst, int dstlen, int esc, int one, char_u * startstr)",12.607503999999999,10.051949,1.7222221999999998,0.8333333,231,129,384,18,31,10,15,4,True
vim\src\popupmenu.c,692,"static int pum_set_selected(int n, int repeat UNUSED)",12.088345,9.934498,1.3076923,0.84615386,229,175,229,13,17,3,11,1,True
vim\src\message.c,3131,void mch_msg(char * str),12.027027,8.027027,2.1111112000000003,1.8888888,37,33,154,9,19,8,17,5,True
vim\src\highlight.c,1671,void set_normal_colors(void),11.772388000000001,7.522388,1.75,2.5,67,63,167,8,14,6,20,0,True
vim\src\os_unix.c,943,static RETSIGTYPE deathtrap SIGDEFARG(sigarg),11.667027000000001,10.137615,1.0588236,0.47058824,109,65,94,17,18,12,8,1,True
vim\src\terminal.c,3824,"static void init_default_colors(term_T * term, win_T * wp)",11.590226,8.947369,1.6428572,1.0,133,85,232,14,23,7,14,3,True
