FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
vlc\modules\demux\asf\libasf.c,312,"static int ASF_ReadObject_file_properties(stream_t * s, asf_object_t * p_obj)",1.4242424999999999,0.42424244,1.0,0.0,33,14,14,1,1,1,0,0,False
vlc\src\os2\getaddrinfo.c,160,"static struct addrinfo * makeipv4info(int type, int proto, u_long ip, u_short port, const char * name)",1.2142857,0.21428572,1.0,0.0,14,3,3,1,1,1,0,0,False
vlc\test\src\input\common.c,46,libvlc_instance_t * libvlc_create(const struct vlc_run_args * args),2.0,0.5,1.0,0.5,24,6,9,2,2,2,1,1,False
vlc\modules\access\satip.c,377,static void satip_teardown(void * data),1.7083334,0.20833333,1.5,0.0,48,5,9,2,3,2,0,3,False
vlc\modules\codec\webvtt\subsvtt.c,2101,void webvtt_CloseDecoder(vlc_object_t * p_this),1.3,0.3,1.0,0.0,10,3,3,1,1,1,0,0,False
vlc\modules\access\cdda.c,854,"static int AccessOpen(vlc_object_t * obj, vcddev_t * dev)",1.2592591999999998,0.25925925,1.0,0.0,54,7,7,2,2,1,0,0,False
vlc\modules\codec\dvbsub.c,1941,"static block_t * Encode(encoder_t * p_enc, subpicture_t * p_subpic)",1.1463413999999998,0.14634146,1.0,0.0,82,6,6,2,2,1,0,0,False
vlc\doc\libvlc\vlc-thumb.c,93,static libvlc_instance_t * create_libvlc(void),1.1666666,0.16666667,1.0,0.0,18,3,3,1,1,1,0,1,False
vlc\src\input\input.c,422,static void Destroy(input_thread_t * input),1.2,0.2,1.0,0.0,25,5,5,1,1,1,0,1,False
vlc\modules\hw\vdpau\deinterlace.c,39,"static picture_t * Deinterlace(filter_t * filter, picture_t * src)",1.7,0.2,1.5,0.0,50,5,9,2,3,2,0,1,False
vlc\src\posix\filesystem.c,203,"ssize_t vlc_writev(int fd, const struct iovec * iov, int count)",2.5666666,1.0666666999999999,1.5,0.0,30,16,29,2,3,2,0,1,False
vlc\src\modules\bank.c,359,"static void AllocatePluginDir(module_bank_t * bank, unsigned maxdepth, const char * absdir, const char * reldir)",1.7807018000000001,0.28070176,1.5,0.0,57,8,13,2,3,2,0,3,False
vlc\modules\video_filter\grain.c,159,"VLC_SSE static void BlockBlendSse2(uint8_t * dst, size_t dst_pitch, const uint8_t * src, size_t src_pitch, const int16_t * noise)",3.125,1.625,1.5,0.0,32,26,30,2,3,2,0,1,False
vlc\modules\demux\mp4\libmp4.c,3618,"static int MP4_ReadBox_chpl(stream_t * p_stream, MP4_Box_t * p_box)",1.0689656,0.06896552,1.0,0.0,58,4,4,1,1,1,0,0,False
vlc\modules\demux\mp4\libmp4.c,1061,"static int MP4_ReadBox_tfhd(stream_t * p_stream, MP4_Box_t * p_box)",1.4150943999999999,0.41509435,1.0,0.0,53,22,22,1,1,1,0,0,False
vlc\modules\video_output\win32\direct3d9.c,549,"static int Direct3D9CreateScene(vout_display_t * vd, const video_format_t * fmt)",1.0493827,0.04938271599999999,1.0,0.0,81,4,4,1,1,1,0,1,False
vlc\modules\codec\fluidsynth.c,206,"static int DecodeBlock(decoder_t * p_dec, block_t * p_block)",1.0531915,0.05319149,1.0,0.0,94,5,5,1,1,1,0,0,False
vlc\modules\access\dvdread.c,586,"static int DemuxBlock(demux_t * p_demux, const uint8_t * p, int len)",1.1351352,0.13513513,1.0,0.0,74,10,10,1,1,1,0,0,False
vlc\src\win32\thread.c,772,void vlc_threads_setup(libvlc_int_t * vlc),2.5,1.0,1.0,0.5,26,13,16,2,2,2,1,2,False
vlc\src\network\udp.c,520,"int net_ConnectDgram(vlc_object_t * p_this, const char * psz_host, unsigned i_port, int i_hlim, int proto)",1.6587300999999999,0.15873016,1.5,0.0,63,5,9,2,3,2,0,1,False
vlc\src\text\filesystem.c,49,"FILE * vlc_fopen(const char * filename, const char * mode)",1.1904762,0.1904762,1.0,0.0,42,8,8,1,1,1,0,0,False
vlc\bin\rootwrap.c,111,static void rootprocess(int fd),1.8769231,0.8769231,1.0,0.0,65,19,19,3,3,1,0,0,False
vlc\modules\codec\flac.c,558,"static void decoder_state_error(decoder_t * p_dec, FLAC__StreamDecoderState state)",2.2295082,1.2295082,1.0,0.0,61,25,25,3,3,1,0,2,False
vlc\modules\demux\mpeg\ts_si.c,81,"static char * EITConvertToUTF8(demux_t * p_demux, const unsigned char * psz_instring, size_t i_length, bool b_broken)",2.8888887999999997,1.3888888000000001,1.5,0.0,36,25,29,2,3,2,0,1,False
vlc\modules\gui\ncurses.c,1557,static void HandleKey(intf_thread_t * intf),1.09375,0.09375,1.0,0.0,32,3,3,1,1,1,0,0,False
vlc\compat\setenv.c,28,"int setenv(const char * name, const char * value, int override)",3.125,1.625,1.5,0.0,16,13,17,2,3,2,0,1,False
vlc\src\posix\plugin.c,41,"void * vlc_dlopen(const char * path, bool lazy)",4.74359,2.0769231,2.6666667,0.0,13,9,31,3,8,3,0,3,False
vlc\modules\stream_out\rtp.c,698,"char * SDPGenerate(sout_stream_t * p_stream, const char * rtsp_url)",1.025,0.025,1.0,0.0,120,3,3,1,1,1,0,0,False
vlc\modules\demux\asf\asf.c,732,"static void ASF_fillup_es_bitrate_priorities_ex(demux_sys_t * p_sys, void * p_hdr, asf_es_priorities_t * p_prios)",2.1904762000000004,0.1904762,2.0,0.0,21,4,8,1,2,2,0,0,False
vlc\test\src\input\demux-run.c,103,"static int EsOutSend(es_out_t * out, es_out_id_t * id, block_t * block)",1.4166666,0.41666666,1.0,0.0,12,5,5,1,1,1,0,0,False
vlc\test\src\input\stream.c,365,int main(void),3.1111112000000003,1.6111111999999999,1.5,0.0,36,29,42,2,3,2,0,3,False
vlc\modules\demux\wav.c,192,"static int ChunkGetNext(demux_t * p_demux, enum wav_chunk_id * p_id, uint32_t * pi_size)",1.1470588,0.14705883,1.0,0.0,34,5,5,1,1,1,0,1,False
vlc\src\config\file.c,139,static int64_t vlc_strtoi(const char * str),1.2777778,0.27777779999999996,1.0,0.0,18,5,5,1,1,1,0,0,False
vlc\modules\video_output\wayland\xdg-shell.c,244,"static int Enable(vout_window_t * wnd, const vout_window_cfg_t * restrict cfg)",2.637681,1.3043478000000002,1.3333334,0.0,23,10,15,3,4,2,0,1,False
vlc\modules\control\rc.c,94,"static void msg_print(intf_thread_t * p_intf, const char * psz_fmt, ...)",1.9761904,0.47619048,1.5,0.0,21,5,9,2,3,2,0,1,False
vlc\modules\demux\avformat\mux.c,545,"static int64_t IOSeek(void * opaque, int64_t offset, int whence)",1.1875,0.1875,1.0,0.0,16,3,3,1,1,1,0,0,False
vlc\modules\access\v4l2\demux.c,73,int DemuxOpen(vlc_object_t * obj),1.0833334,0.083333336,1.0,0.0,36,3,3,1,1,1,0,0,False
vlc\modules\demux\mp4\libmp4.c,4733,"static int MP4_ReadBox_uuid(stream_t * p_stream, MP4_Box_t * p_box)",2.4565217,0.95652175,1.5,0.0,23,11,15,2,3,2,0,1,False
vlc\modules\demux\avi\libavi.c,421,"static int AVI_ChunkRead_strf(stream_t * s, avi_chunk_t * p_chk)",1.2733812,0.2733813,1.0,0.0,139,19,19,2,2,1,0,0,False
vlc\src\video_output\vout_wrapper.c,57,"vout_display_t * vout_OpenWrapper(vout_thread_t * vout, const char * splitter_name, const vout_display_cfg_t * cfg, vlc_video_context * vctx)",1.3,0.3,1.0,0.0,60,9,9,2,2,2,0,1,False
vlc\modules\demux\mp4\libmp4.c,1437,"static int MP4_ReadBox_smhd(stream_t * p_stream, MP4_Box_t * p_box)",1.3333334,0.33333334,1.0,0.0,12,4,4,1,1,1,0,0,False
vlc\modules\video_output\win32\d3d11_swapchain.c,146,"static void SelectSwapchainColorspace(struct d3d11_local_swapchain * display, const libvlc_video_render_cfg_t * cfg)",1.3678161,0.3678161,1.0,0.0,87,32,32,1,1,1,0,0,False
vlc\modules\text_renderer\freetype\fonts\fontconfig.c,51,int FontConfig_Prepare(filter_t * p_filter),2.6176472,1.1176469999999998,1.5,0.0,34,19,35,2,3,2,0,3,False
vlc\lib\media_player.c,1104,"void libvlc_media_player_set_nsobject(libvlc_media_player_t * p_mi, void * drawable)",2.9117646,1.4117647,1.5,0.0,17,12,20,2,3,2,0,1,False
vlc\src\text\url.c,964,static char * vlc_idna_to_ascii(const char * idn),5.5030303,2.8363636000000003,2.6666667,0.0,55,52,137,3,8,3,0,3,False
vlc\modules\text_renderer\freetype\text_layout.c,1627,"static paragraph_t * BuildParagraph(filter_t * p_filter, int i_size, const uni_char_t * p_uchars, text_style_t * * pp_styles, ruby_block_t * * pp_ruby, int i_runs_size, unsigned * pi_max_advance_x)",4.205555400000001,1.9555556,2.25,0.0,45,22,56,4,9,3,0,3,False
vlc\modules\stream_out\rtp.c,1308,static void * ThreadSend(void * data),3.1201298,1.8701298,1.25,0.0,77,36,41,4,5,3,0,1,False
vlc\src\win32\filesystem.c,145,char * vlc_getcwd(void),3.0384617,1.5384616000000002,1.5,0.0,13,10,19,2,3,2,0,1,False
vlc\modules\demux\au.c,101,static int Open(vlc_object_t * p_this),2.02454,0.024539877,2.0,0.0,163,4,8,1,2,2,0,0,False
vlc\src\video_output\video_output.c,1997,"static int EnableWindowLocked(vout_thread_t * vout, const video_format_t * original)",2.1538463,0.15384616,2.0,0.0,26,4,8,1,2,2,0,0,False
vlc\modules\video_filter\gaussianblur.c,104,static void gaussianblur_InitDistribution(filter_sys_t * p_sys),2.0555556,0.5555555999999999,1.5,0.0,18,5,9,2,3,2,0,1,False
vlc\modules\access\rtp\input.c,106,void * rtp_dgram_thread(void * opaque),1.6351352,0.13513513,1.5,0.0,74,5,9,2,3,2,0,1,False
vlc\modules\access\dvb\linux_dvb.c,456,"static int FrontendInfo(vlc_object_t * p_access, dvb_sys_t * p_sys)",3.6,0.1,3.5,0.0,120,6,24,2,7,3,0,1,False
vlc\modules\codec\crystalhd.c,368,static void CloseDecoder(vlc_object_t * p_this),1.1578947,0.15789473,1.0,0.0,19,3,3,1,1,1,0,0,False
vlc\modules\services_discovery\sap.c,1106,"static int ParseSDPConnection(const char * str, struct sockaddr_storage * addr, socklen_t * addrlen, unsigned * number)",2.5641024,1.2307693000000002,1.0,0.33333334,39,16,19,3,3,2,1,0,False
vlc\compat\vasprintf.c,31,"int vasprintf(char * * strp, const char * fmt, va_list ap)",1.1153846,0.115384616,1.0,0.0,26,3,3,1,1,1,0,1,False
vlc\modules\video_output\win32\d3d11_shaders.c,894,void D3D11_ReleaseShaders(d3d11_shaders_t * shaders),1.7272726999999999,0.72727275,1.0,0.0,11,8,8,1,1,1,0,1,False
vlc\src\input\resource.c,325,"static void input_resource_PutVoutLocked(input_resource_t * p_resource, vout_thread_t * vout)",1.2413793,0.24137929999999996,1.0,0.0,29,7,7,1,1,1,0,1,False
vlc\modules\codec\lpcm.c,1258,"static void BdExtract(block_t * p_aout_buffer, block_t * p_block, unsigned i_frame_length, unsigned i_channels, unsigned i_channels_padding, unsigned i_bits)",3.4,1.9,1.5,0.0,40,19,36,4,6,2,0,2,False
vlc\modules\codec\svcdsub.c,365,"static void ParseHeader(decoder_t * p_dec, block_t * p_block)",1.2372881000000002,0.23728813,1.0,0.0,59,14,14,1,1,1,0,1,False
