FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
vlc\src\misc\cpu.c,118,VLC_WEAK unsigned vlc_CPU_raw(void),18.431623000000002,12.277778,3.3076922999999994,2.8461537,90,85,509,13,43,23,37,20,True
vlc\modules\access\vcd\cdrom.c,263,"vcddev_toc_t * ioctl_GetTOC(vlc_object_t * p_this, const vcddev_t * p_vcddev, bool b_fill_sectorinfo)",11.936508,6.222222299999999,4.714286,1.0,252,224,1201,7,33,6,7,15,True
vlc\modules\access\http\h2frame.c,250,struct vlc_h2_frame * vlc_h2_frame_settings(void),8.277778,6.1666669999999995,1.7777778000000002,0.33333334,54,37,88,9,16,9,3,3,True
vlc\modules\video_chroma\i420_yuy2.c,193,"VLC_TARGET static void I420_YUY2(filter_t * p_filter, picture_t * p_source, picture_t * p_dest)",8.141935,6.141935299999999,1.2857143,0.71428573,155,136,203,7,9,4,5,6,True
vlc\modules\video_chroma\i420_yuy2.c,405,"VLC_TARGET static void I420_YVYU(filter_t * p_filter, picture_t * p_source, picture_t * p_dest)",8.125,6.125,1.2857143,0.71428573,152,133,200,7,9,4,5,6,True
vlc\modules\video_chroma\i420_yuy2.c,612,"VLC_TARGET static void I420_UYVY(filter_t * p_filter, picture_t * p_source, picture_t * p_dest)",8.125,6.125,1.2857143,0.71428573,152,133,200,7,9,4,5,6,True
vlc\modules\video_chroma\swscale.c,226,static int GetSwsCpuMask(void),8.0,3.0,2.5,2.5,20,15,63,4,10,8,10,1,True
vlc\modules\gui\eject.c,122,"static int intf_Eject(vlc_object_t * p_this, const char * psz_device)",7.755555,4.5555553,2.6,0.6,45,41,136,5,13,4,3,4,True
vlc\src\extras\libc.c,397,"vlc_iconv_t vlc_iconv_open(const char * tocode, const char * fromcode)",7.434146000000001,4.634146,1.8,1.0,41,38,103,5,9,5,5,3,True
vlc\src\linux\cpu.c,43,unsigned vlc_CPU_raw(void),6.8142853,3.2142856,3.4,0.2,70,45,207,5,17,7,1,3,True
vlc\src\network\udp.c,397,"static int net_Subscribe(vlc_object_t * obj, int fd, const struct sockaddr * grp, socklen_t grplen)",6.7070417,4.507042,1.6,0.6,71,64,204,5,8,6,3,3,True
vlc\modules\video_chroma\i422_yuy2.c,161,"VLC_TARGET static void I422_YUY2(filter_t * p_filter, picture_t * p_source, picture_t * p_dest)",6.4690475,3.8690476,1.6,1.0,84,65,111,5,8,4,5,2,True
vlc\modules\video_chroma\i422_yuy2.c,258,"VLC_TARGET static void I422_YVYU(filter_t * p_filter, picture_t * p_source, picture_t * p_dest)",6.4690475,3.8690476,1.6,1.0,84,65,111,5,8,4,5,2,True
vlc\modules\video_chroma\i422_yuy2.c,355,"VLC_TARGET static void I422_UYVY(filter_t * p_filter, picture_t * p_source, picture_t * p_dest)",6.4690475,3.8690476,1.6,1.0,84,65,111,5,8,4,5,2,True
vlc\src\network\udp.c,314,"static int net_SourceSubscribe(vlc_object_t * obj, int fd, const struct sockaddr * src, socklen_t srclen, const struct sockaddr * grp, socklen_t grplen)",5.6702900000000005,3.4202898,1.75,0.5,69,59,173,4,7,5,2,3,True
vlc\modules\codec\videotoolbox.c,1527,static Boolean deviceSupportsAdvancedLevels(),5.618421,3.368421,1.5,0.75,19,16,36,4,6,3,3,2,True
