FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly,Pedro
allegro5\src\fshook_stdio.c,160,static WRAP_CHAR * make_absolute_path_inner(const WRAP_CHAR * tail),3.3536587,1.8536586,1.5,0,41,38,66,2,3,2,0,1,,True
allegro5\src\convert.c,1409,"static void rgb_888_to_argb_1555(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)",1.8703704,0.37037036,1.5,0,27,5,9,2,3,2,0,1,,False
allegro5\addons\primitives\prim_opengl.c,617,"int _al_draw_prim_indexed_opengl(ALLEGRO_BITMAP * target, ALLEGRO_BITMAP * texture, const void * vtxs, const ALLEGRO_VERTEX_DECL * decl, const int * indices, int num_vtx, int type)",3.1,1.6,1.5,0,15,12,23,2,3,2,0,1,,True
allegro5\addons\primitives\prim_opengl.c,804,void _al_unlock_index_buffer_opengl(ALLEGRO_INDEX_BUFFER * buf),2.75,1.25,1.5,0,8,5,9,2,3,2,0,1,,True
allegro5\examples\ex_ttf.c,227,"int main(int argc, char * * argv)",1.0315789,0.031578947,1,0,95,3,3,1,1,1,0,0,,True
allegro5\src\opengl\ogl_fbo.c,135,static void detach_multisample_buffer(ALLEGRO_FBO_INFO * info),1.7857143,0.78571427,1,0,14,11,11,1,1,1,0,1,,False
allegro5\src\file_stdio.c,105,"static void * file_stdio_fopen(const char * path, const char * mode)",2.2586207,0.7586207,1.5,0,29,11,15,2,3,2,0,1,,False
allegro5\tools\win\wfixicon.c,187,"int main(int argc, char * argv[])",3.1962616,0.19626167,3,0,107,7,27,3,9,4,0,3,,True
allegro5\src\convert.c,5778,"static void rgbx_8888_to_bgr_888(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)",2.080645,0.58064514,1.5,0,31,9,15,2,3,2,0,1,,True
allegro5\addons\acodec\ogg.c,219,ALLEGRO_SAMPLE * _al_load_ogg_vorbis_f(ALLEGRO_FILE * file),2.2222223,0.7222222,1.5,0,72,13,23,4,6,3,0,4,,False
allegro5\src\convert.c,4280,"static void bgr_888_to_argb_4444(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)",1.8703704,0.37037036,1.5,0,27,5,9,2,3,2,0,1,,True
